User_ID,Tenure_Months,Monthly_Charges_USD,Total_Charges_USD,Support_Tickets,Daily_Active_Hours,Plan_Type,Contract_Type,Churn
USR-20082,16,254.93,4063.59,3,0.5,Pro,Month-to-Month,0
USR-20083,1,161.09,154.3,5,3.5,Basic,One Year,1
USR-20084,25,77.11,1926.46,2,1.4,Pro,One Year,0
USR-20085,25,47.07,1185.76,4,0.4,Pro,One Year,0
USR-20086,43,48.16,1926.7,9,1.3,Pro,One Year,0
USR-20087,18,34.55,641.8,0,4.2,Basic,Month-to-Month,0
USR-20088,23,247.3,5273.96,4,1.0,Pro,Month-to-Month,0
USR-20089,32,55.94,1803.46,0,1.5,Pro,One Year,0
USR-20090,40,138.94,5467.78,3,1.9,Pro,Month-to-Month,0
USR-20091,32,271.15,8223.51,4,2.1,Pro,Month-to-Month,0
USR-20092,37,290.23,10568.54,2,2.7,Pro,Two Year,0
USR-20093,44,184.34,8353.49,3,1.1,Pro,Month-to-Month,0
USR-20094,2,287.52,575.42,4,3.3,Basic,Month-to-Month,1
USR-20095,5,125.02,576.86,1,1.4,Pro,Month-to-Month,1
USR-20096,4,30.31,117.66,2,1.9,Pro,Month-to-Month,0
USR-20097,37,150.9,5438.23,1,1.1,Basic,Two Year,0
USR-20098,22,38.91,829.32,1,3.9,Basic,One Year,0
USR-20099,37,145.18,5062.13,2,0.6,Pro,Month-to-Month,0
USR-20100,25,90.13,2128.66,3,3.0,Basic,Month-to-Month,0
USR-20101,11,154.91,1705.6,1,1.2,Basic,Month-to-Month,0
USR-20102,36,256.92,9356.54,2,1.7,Pro,Month-to-Month,0
USR-20103,17,266.15,4674.09,1,1.2,Pro,One Year,0
USR-20104,8,136.78,1128.56,2,4.6,Pro,Two Year,0
USR-20105,29,106.96,3067.69,1,1.9,Pro,One Year,0
USR-20106,11,69.44,707.11,1,2.0,Basic,Two Year,0
USR-20107,43,250.73,10750.18,5,2.9,Basic,Month-to-Month,0
USR-20108,37,150.29,5156.71,0,6.9,Basic,Month-to-Month,0
USR-20109,23,82.02,1878.23,4,1.8,Pro,Two Year,0
USR-20110,16,32.73,500.75,2,0.5,Basic,Month-to-Month,1
USR-20111,48,266.14,11916.21,4,1.1,Basic,Month-to-Month,0
USR-20112,46,190.61,8266.86,2,3.2,Enterprise,Month-to-Month,0
USR-20113,6,279.12,1663.23,7,1.3,Basic,Month-to-Month,1
USR-20114,25,89.74,2083.53,7,2.7,Basic,Two Year,1
USR-20115,27,72.53,1959.27,0,2.2,Basic,One Year,1
USR-20116,15,209.08,3154.09,1,4.4,Pro,One Year,0
USR-20117,2,38.81,78.78,11,3.4,Enterprise,Month-to-Month,1
USR-20118,38,288.99,10304.7,4,0.6,Basic,Two Year,1
USR-20119,17,80.84,1270.53,1,1.5,Pro,One Year,0
USR-20120,4,74.1,301.68,2,1.4,Basic,One Year,0
USR-20121,11,83.71,861.89,13,3.2,Basic,Month-to-Month,1
USR-20122,7,88.18,632.9,1,1.2,Basic,Month-to-Month,0
USR-20123,43,273.23,11913.35,1,5.7,Basic,One Year,0
USR-20124,23,232.73,5127.02,6,0.5,Basic,Month-to-Month,0
USR-20125,12,275.75,3336.02,2,1.3,Basic,Month-to-Month,0
USR-20126,9,42.59,377.49,2,5.5,Enterprise,Month-to-Month,0
USR-20127,11,288.55,3172.24,0,0.4,Basic,Two Year,0
USR-20128,17,208.34,3490.69,3,2.3,Basic,One Year,0
USR-20129,40,242.39,9618.87,5,1.7,Pro,Two Year,0
USR-20130,44,156.66,6464.3,2,1.5,Enterprise,One Year,0
USR-20131,26,234.72,5820.83,1,2.4,Enterprise,Month-to-Month,0
USR-20132,29,184.81,5535.6,4,0.7,Enterprise,Month-to-Month,0
USR-20133,33,41.32,1368.51,10,2.7,Pro,Month-to-Month,0
USR-20134,5,152.68,706.86,4,1.4,Pro,Month-to-Month,1
USR-20135,7,188.68,1313.27,1,1.7,Pro,Two Year,0
USR-20136,7,76.61,502.51,2,1.8,Basic,Month-to-Month,1
USR-20137,24,261.42,5884.83,0,1.0,Pro,Month-to-Month,0
USR-20138,25,259.49,6118.01,1,4.3,Pro,Month-to-Month,0
USR-20139,20,149.55,3076.49,0,2.4,Pro,Month-to-Month,0
USR-20140,18,155.44,2844.18,0,1.8,Pro,One Year,0
USR-20141,21,81.15,1707.26,2,3.2,Basic,One Year,0
USR-20142,39,230.08,8701.18,1,2.1,Basic,Month-to-Month,0
USR-20143,37,71.46,2565.24,5,1.7,Pro,Month-to-Month,0
USR-20144,37,225.77,7843.26,2,0.7,Enterprise,Two Year,0
USR-20145,3,70.93,203.88,4,3.9,Basic,Month-to-Month,0
USR-20146,10,204.34,1922.19,2,1.5,Basic,Month-to-Month,1
USR-20147,43,99.98,4220.57,3,2.7,Basic,Month-to-Month,0
USR-20148,3,41.76,123.89,5,1.2,Basic,One Year,1
USR-20149,10,55.47,565.49,4,1.8,Pro,Two Year,0
USR-20150,35,71.48,2432.38,1,2.4,Enterprise,Month-to-Month,0
USR-20151,34,118.2,3965.56,0,1.5,Basic,One Year,1
USR-20152,25,77.96,2010.14,6,2.4,Basic,One Year,0
USR-20153,48,289.13,13830.18,1,7.2,Pro,Month-to-Month,0
USR-20154,9,88.77,798.15,0,0.8,Pro,Month-to-Month,0
USR-20155,2,112.51,208.75,1,3.1,Pro,Month-to-Month,0
USR-20156,33,277.59,9052.4,5,3.1,Basic,One Year,0
USR-20157,11,168.69,1751.49,3,0.3,Basic,Month-to-Month,0
USR-20158,48,75.37,3329.26,0,2.6,Basic,Two Year,1
USR-20159,41,42.52,1773.22,1,7.9,Pro,Month-to-Month,0
USR-20160,45,73.69,3217.07,4,1.0,Pro,Month-to-Month,0
USR-20161,35,218.32,7180.3,2,2.1,Basic,One Year,0
USR-20162,14,268.13,3679.47,6,3.6,Basic,One Year,0
USR-20163,48,52.48,2419.15,0,3.3,Pro,One Year,0
USR-20164,26,152.81,3773.37,2,3.6,Basic,Month-to-Month,0
USR-20165,7,211.71,1514.42,3,1.2,Basic,One Year,0
USR-20166,34,158.75,5424.43,4,1.8,Basic,One Year,0
USR-20167,38,75.09,2842.51,7,2.5,Pro,Month-to-Month,1
USR-20168,9,156.1,1367.46,1,2.2,Basic,Two Year,0
USR-20169,35,203.67,7020.97,1,3.5,Pro,Two Year,0
USR-20170,10,219.39,2117.61,3,5.8,Pro,One Year,0
USR-20171,7,67.35,459.09,1,2.4,Enterprise,Month-to-Month,0
USR-20172,18,211.2,3784.09,0,2.1,Basic,Two Year,1
USR-20173,18,199.39,3363.37,2,2.0,Basic,One Year,0
USR-20174,26,160.79,4128.25,2,3.0,Pro,Month-to-Month,0
USR-20175,40,259.65,9909.36,1,3.1,Basic,Month-to-Month,0
USR-20176,30,170.12,5081.09,1,4.3,Pro,Two Year,0
USR-20177,38,174.09,6296.73,1,3.3,Enterprise,Month-to-Month,0
USR-20178,3,74.28,208.74,2,1.9,Pro,Month-to-Month,0
USR-20179,12,103.04,1261.24,1,0.7,Pro,Month-to-Month,0
USR-20180,43,247.2,10200.01,1,5.6,Pro,One Year,0
USR-20181,48,298.6,14137.87,1,1.7,Pro,Month-to-Month,0
USR-20182,39,126.08,4643.71,6,0.7,Pro,One Year,0
USR-20183,43,258.05,11527.38,1,2.8,Basic,One Year,0
USR-20184,8,173.31,1302.51,5,3.3,Basic,One Year,1
USR-20185,18,278.1,4787.36,9,0.8,Basic,Month-to-Month,1
USR-20186,28,180.82,5222.42,4,1.8,Basic,Month-to-Month,0
USR-20187,8,117.36,902.55,2,1.0,Basic,Month-to-Month,1
USR-20188,41,204.82,8022.98,4,1.3,Enterprise,Month-to-Month,0
USR-20189,21,130.53,2595.14,1,1.0,Pro,Month-to-Month,0
USR-20190,32,254.21,8430.29,1,4.2,Basic,One Year,0
USR-20191,4,30.89,117.37,0,1.0,Enterprise,Two Year,0
USR-20192,16,279.24,4453.59,3,2.2,Pro,Month-to-Month,0
USR-20193,16,196.71,3105.44,3,1.6,Basic,One Year,0
USR-20194,23,67.77,1594.73,0,0.7,Basic,One Year,0
USR-20195,4,120.71,447.24,5,0.4,Basic,Month-to-Month,1
USR-20196,31,92.18,2754.52,1,4.9,Enterprise,One Year,0
USR-20197,19,60.27,1162.01,2,1.7,Pro,Month-to-Month,0
USR-20198,19,258.79,4879.46,0,1.2,Basic,Month-to-Month,0
USR-20199,27,52.44,1436.41,3,1.2,Enterprise,Two Year,0
USR-20200,3,168.49,495.73,6,5.6,Basic,Month-to-Month,0
USR-20201,13,32.59,431.83,1,1.5,Basic,Month-to-Month,0
USR-20202,21,254.56,5054.55,1,1.2,Pro,Month-to-Month,0
USR-20203,7,126.17,885.19,1,1.4,Basic,Month-to-Month,0
USR-20204,11,189.96,2022.06,7,3.1,Basic,One Year,1
USR-20205,22,44.21,963.39,2,0.4,Basic,Month-to-Month,1
USR-20206,15,254.81,3829.99,1,0.7,Pro,One Year,0
USR-20207,19,75.94,1378.48,1,1.5,Enterprise,One Year,0
USR-20208,38,130.08,4648.85,6,1.8,Basic,One Year,0
USR-20209,34,64.12,2141.27,0,3.0,Basic,One Year,0
USR-20210,35,194.47,6994.74,5,6.2,Basic,Month-to-Month,0
USR-20211,29,272.64,7712.49,7,4.5,Enterprise,Month-to-Month,0
USR-20212,7,243.27,1729.07,1,2.4,Pro,Month-to-Month,0
USR-20213,6,79.19,449.54,0,2.6,Basic,Month-to-Month,0
USR-20214,37,96.35,3701.59,2,2.6,Enterprise,Month-to-Month,0
USR-20215,2,229.22,455.72,6,3.3,Basic,Month-to-Month,1
USR-20216,21,69.9,1502.21,6,2.9,Pro,Month-to-Month,0
USR-20217,21,231.01,4776.58,0,4.2,Basic,One Year,0
USR-20218,9,211.79,1758.19,3,0.8,Pro,Month-to-Month,0
USR-20219,35,63.92,2212.19,2,0.8,Basic,Month-to-Month,0
USR-20220,37,45.94,1672.13,4,5.3,Pro,Month-to-Month,0
USR-20221,9,110.81,1003.03,1,0.5,Pro,One Year,0
USR-20222,25,234.52,5492.36,1,1.1,Pro,Month-to-Month,0
USR-20223,23,95.33,2179.96,3,3.2,Enterprise,Two Year,0
USR-20224,28,54.38,1516.46,1,3.6,Basic,Month-to-Month,0
USR-20225,38,161.57,5785.48,1,1.4,Pro,Month-to-Month,0
USR-20226,33,275.96,8893.44,1,0.3,Pro,Two Year,0
USR-20227,27,31.26,869.08,1,2.5,Basic,Month-to-Month,0
USR-20228,27,50.66,1405.02,2,3.9,Basic,Two Year,0
USR-20229,41,278.13,11051.55,1,0.4,Pro,Month-to-Month,0
USR-20230,1,101.29,99.1,1,0.8,Enterprise,Month-to-Month,0
USR-20231,18,152.38,2697.49,2,3.0,Enterprise,Month-to-Month,0
USR-20232,3,142.96,415.27,3,6.9,Pro,Two Year,0
USR-20233,37,76.89,2789.96,4,1.4,Basic,Month-to-Month,0
USR-20234,23,60.2,1391.29,4,4.8,Enterprise,Month-to-Month,0
USR-20235,30,101.78,2881.14,3,2.0,Pro,Month-to-Month,1
USR-20236,25,256.56,6532.6,4,1.5,Pro,Month-to-Month,1
USR-20237,32,85.49,2671.08,3,1.7,Pro,Month-to-Month,0
USR-20238,31,151.36,4783.79,0,4.1,Pro,Month-to-Month,0
USR-20239,13,168.41,2181.51,1,0.3,Basic,Month-to-Month,0
USR-20240,3,279.42,778.02,5,3.5,Basic,Month-to-Month,1
USR-20241,2,45.27,90.8,3,2.8,Basic,One Year,0
USR-20242,42,50.32,2101.96,3,1.5,Enterprise,Month-to-Month,0
USR-20243,30,37.59,1136.3,2,0.9,Basic,Two Year,0
USR-20244,12,77.9,868.78,2,1.5,Basic,Month-to-Month,0
USR-20245,42,211.82,8368.77,0,2.6,Basic,Month-to-Month,0
USR-20246,7,215.63,1427.62,2,0.9,Pro,Month-to-Month,0
USR-20247,10,240.33,2220.21,1,5.2,Pro,One Year,0
USR-20248,24,83.07,2063.48,2,0.2,Pro,Month-to-Month,1
USR-20249,16,66.86,1106.81,2,0.2,Basic,Month-to-Month,1
USR-20250,3,206.66,583.15,0,1.1,Pro,One Year,0
USR-20251,5,206.86,1013.07,1,0.3,Basic,Two Year,0
USR-20252,48,140.02,6273.51,2,2.8,Enterprise,Month-to-Month,0
USR-20253,30,99.34,2829.36,0,4.7,Pro,Two Year,0
USR-20254,10,55.06,532.8,0,1.0,Basic,Month-to-Month,0
USR-20255,43,227.2,9671.91,1,5.8,Basic,Month-to-Month,0
USR-20256,14,212.08,2881.47,2,1.5,Basic,Month-to-Month,0
USR-20257,39,250.94,9849.53,0,1.7,Basic,Month-to-Month,0
USR-20258,37,210.19,7453.2,7,2.9,Basic,Month-to-Month,0
USR-20259,45,107.08,4783.9,2,2.0,Basic,Two Year,0
USR-20260,44,143.74,5980.93,1,2.5,Basic,Month-to-Month,0
USR-20261,43,180.51,7223.47,2,2.8,Pro,Month-to-Month,0
USR-20262,20,41.77,809.03,3,4.7,Pro,Two Year,0
USR-20263,39,289.72,11243.03,4,5.1,Basic,Month-to-Month,0
USR-20264,29,285.02,7643.09,0,1.2,Basic,Month-to-Month,0
USR-20265,46,261.02,11288.67,15,1.1,Pro,One Year,0
USR-20266,23,273.71,5792.83,1,1.1,Basic,Month-to-Month,0
USR-20267,19,230.81,4557.68,2,3.0,Basic,Month-to-Month,0
USR-20268,37,299.79,10366.33,0,1.8,Pro,One Year,0
USR-20269,32,84.41,2633.08,4,3.6,Pro,Month-to-Month,0
USR-20270,3,134.81,398.37,3,1.5,Enterprise,Two Year,0
USR-20271,36,144.81,5421.67,1,3.0,Pro,Month-to-Month,0
USR-20272,28,62.05,1618.59,5,0.7,Basic,One Year,0
USR-20273,24,217.45,5007.79,0,2.8,Basic,Month-to-Month,0
USR-20274,43,33.24,1377.24,1,1.2,Basic,Month-to-Month,0
USR-20275,39,191.24,7115.32,6,1.4,Basic,One Year,1
USR-20276,36,67.24,2482.97,3,5.5,Pro,Month-to-Month,0
USR-20277,9,206.2,1821.65,2,4.8,Basic,Two Year,0
USR-20278,34,123.59,4313.28,2,3.8,Basic,One Year,0
USR-20279,13,141.12,1722.97,7,1.7,Basic,Month-to-Month,0
USR-20280,36,286.6,10175.21,1,2.7,Enterprise,One Year,0
USR-20281,21,123.4,2389.65,3,0.3,Basic,Month-to-Month,0
USR-20282,2,44.51,83.26,1,0.9,Basic,Two Year,0
USR-20283,13,295.56,3593.52,3,1.7,Pro,Month-to-Month,0
USR-20284,24,33.1,800.95,1,1.6,Pro,One Year,0
USR-20285,17,114.25,1955.94,9,1.5,Basic,Month-to-Month,0
USR-20286,41,110.95,4635.5,0,3.2,Basic,Month-to-Month,0
USR-20287,41,295.41,12544.02,1,1.7,Basic,Two Year,0
USR-20288,11,283.84,3156.03,3,0.8,Enterprise,Month-to-Month,0
USR-20289,33,135.83,4348.8,4,5.0,Enterprise,Month-to-Month,1
USR-20290,40,267.41,10975.2,1,2.7,Pro,One Year,0
USR-20291,30,254.05,7617.59,2,3.3,Basic,Two Year,0
USR-20292,33,111.88,3647.27,13,1.5,Basic,Month-to-Month,1
USR-20293,48,233.54,11049.87,7,0.9,Pro,One Year,0
USR-20294,23,74.17,1622.0,4,0.2,Pro,One Year,0
USR-20295,6,236.92,1325.04,3,2.4,Pro,Month-to-Month,0
USR-20296,1,261.43,253.98,1,1.6,Basic,Two Year,0
USR-20297,12,225.47,2660.69,1,5.4,Enterprise,Month-to-Month,0
USR-20298,2,123.77,230.66,0,1.1,Basic,One Year,0
USR-20299,2,61.98,120.01,1,4.4,Basic,Two Year,0
USR-20300,7,222.64,1553.84,2,0.9,Basic,Month-to-Month,0
USR-20301,38,198.17,7752.54,0,0.6,Enterprise,Month-to-Month,0
USR-20302,31,249.58,7341.5,3,2.4,Pro,One Year,0
USR-20303,3,240.77,673.62,2,1.8,Pro,Two Year,0
USR-20304,40,293.99,12216.75,3,1.3,Basic,Two Year,0
USR-20305,34,118.73,3890.52,0,0.8,Basic,Month-to-Month,0
USR-20306,46,62.22,2795.45,0,2.6,Basic,One Year,0
USR-20307,30,191.65,5328.34,1,0.7,Basic,Month-to-Month,0
USR-20308,40,156.89,6402.21,0,1.1,Pro,One Year,0
USR-20309,31,162.4,4704.51,1,1.6,Basic,Month-to-Month,0
USR-20310,1,79.15,75.54,0,4.2,Pro,Month-to-Month,0
USR-20311,3,33.97,101.72,3,1.4,Basic,Two Year,0
USR-20312,11,291.97,3001.58,2,5.1,Pro,Month-to-Month,0
USR-20313,30,100.08,3002.3,0,5.4,Basic,Month-to-Month,0
USR-20314,16,186.07,3089.97,7,3.9,Enterprise,Month-to-Month,1
USR-20315,8,256.45,2107.73,4,1.7,Enterprise,One Year,0
USR-20316,11,106.15,1103.93,3,0.7,Basic,Month-to-Month,0
USR-20317,19,165.91,2983.48,0,3.0,Pro,Month-to-Month,0
USR-20318,10,57.24,589.22,1,4.1,Pro,Two Year,0
USR-20319,26,222.48,5491.83,3,1.2,Basic,Month-to-Month,0
USR-20320,18,276.25,4825.68,4,0.9,Pro,One Year,0
USR-20321,8,116.41,884.36,1,4.4,Basic,Month-to-Month,1
USR-20322,29,275.04,7653.46,0,1.2,Pro,Month-to-Month,0
USR-20323,17,71.78,1247.7,3,4.7,Basic,Month-to-Month,0
USR-20324,10,109.81,1048.82,4,1.4,Basic,Month-to-Month,1
USR-20325,7,37.37,247.05,4,2.2,Pro,One Year,0
USR-20326,42,233.2,9576.36,3,1.1,Basic,Month-to-Month,1
USR-20327,12,269.93,3095.28,0,1.5,Pro,One Year,0
USR-20328,11,181.9,1920.62,4,1.9,Enterprise,Two Year,0
USR-20329,34,255.14,9018.66,1,2.0,Basic,Two Year,0
USR-20330,10,159.11,1476.72,5,1.1,Pro,Two Year,0
USR-20331,27,216.73,5635.06,0,2.4,Basic,Two Year,0
USR-20332,17,169.58,2976.08,13,3.0,Basic,Month-to-Month,1
USR-20333,16,100.11,1540.29,0,2.5,Pro,Month-to-Month,0
USR-20334,48,52.62,2597.94,2,2.1,Pro,Month-to-Month,0
USR-20335,48,116.84,5462.66,3,2.4,Basic,Month-to-Month,0
USR-20336,28,259.64,7200.15,5,1.2,Basic,One Year,0
USR-20337,26,232.38,5652.96,3,1.0,Basic,One Year,0
USR-20338,7,235.62,1682.84,4,3.4,Pro,Two Year,1
USR-20339,11,45.44,477.52,2,2.7,Basic,Month-to-Month,0
USR-20340,15,38.73,546.72,0,2.0,Basic,Two Year,0
USR-20341,2,272.58,550.41,13,0.2,Enterprise,Month-to-Month,1
USR-20342,32,253.77,7529.99,2,7.7,Enterprise,One Year,0
USR-20343,13,150.32,1980.39,5,3.8,Basic,Month-to-Month,1
USR-20344,30,79.55,2458.14,1,1.2,Pro,Month-to-Month,0
USR-20345,29,146.96,4044.49,2,2.6,Basic,Month-to-Month,0
USR-20346,17,46.42,809.43,2,3.1,Basic,One Year,0
USR-20347,39,90.7,3450.43,0,2.8,Basic,One Year,0
USR-20348,37,250.61,8596.97,4,4.1,Pro,One Year,0
USR-20349,11,179.29,1886.29,9,2.9,Pro,Month-to-Month,1
USR-20350,47,30.14,1449.3,1,5.7,Basic,Month-to-Month,0
USR-20351,2,75.79,149.38,3,0.4,Basic,Month-to-Month,0
USR-20352,20,268.16,5087.44,0,1.3,Basic,Month-to-Month,0
USR-20353,23,288.41,6299.58,0,0.5,Basic,One Year,0
USR-20354,4,60.64,248.91,1,1.6,Pro,Two Year,0
USR-20355,26,186.83,4942.97,4,1.4,Pro,One Year,0
USR-20356,11,109.52,1143.95,6,3.0,Pro,Month-to-Month,0
USR-20357,48,175.35,8395.03,0,6.0,Pro,Month-to-Month,0
USR-20358,4,149.96,575.85,2,1.5,Pro,Month-to-Month,1
USR-20359,10,95.53,935.78,1,2.3,Basic,Month-to-Month,0
USR-20360,25,79.2,2005.71,1,0.6,Basic,One Year,0
USR-20361,38,65.75,2417.21,0,1.2,Basic,Month-to-Month,0
USR-20362,18,157.82,2665.02,5,3.3,Basic,Two Year,0
USR-20363,2,270.39,525.14,1,2.8,Pro,Month-to-Month,0
USR-20364,9,103.02,874.26,3,0.5,Enterprise,Month-to-Month,1
USR-20365,18,86.66,1579.58,0,3.3,Pro,Month-to-Month,0
USR-20366,32,277.67,8666.14,0,2.2,Basic,One Year,0
USR-20367,10,292.09,2863.08,1,5.7,Pro,One Year,0
USR-20368,8,189.48,1528.44,9,1.5,Basic,Month-to-Month,1
USR-20369,37,83.52,2920.51,1,1.0,Pro,Month-to-Month,0
USR-20370,40,284.53,10697.32,2,2.7,Basic,Month-to-Month,0
USR-20371,41,165.92,6898.82,3,2.6,Pro,Two Year,0
USR-20372,28,221.85,6071.04,1,1.0,Basic,Month-to-Month,0
USR-20373,11,127.84,1449.66,5,3.3,Basic,One Year,0
USR-20374,36,72.93,2473.28,1,4.6,Basic,One Year,0
USR-20375,26,75.35,2009.94,1,1.0,Pro,Month-to-Month,0
USR-20376,1,54.46,56.28,4,1.3,Basic,Month-to-Month,0
USR-20377,1,193.47,193.2,1,0.8,Basic,One Year,0
USR-20378,4,289.97,1117.38,1,0.5,Pro,Month-to-Month,1
USR-20379,5,43.46,219.74,2,1.3,Pro,Month-to-Month,1
USR-20380,30,55.27,1714.4,1,6.6,Basic,Month-to-Month,0
USR-20381,30,161.17,4469.92,1,1.9,Pro,One Year,0
USR-20382,28,264.97,7173.67,1,2.5,Basic,Month-to-Month,0
USR-20383,12,83.96,978.14,1,2.0,Basic,Month-to-Month,0
USR-20384,13,242.35,2941.86,3,4.1,Basic,Two Year,0
USR-20385,25,124.21,3192.17,1,1.0,Enterprise,Month-to-Month,0
USR-20386,27,271.45,7404.25,1,3.8,Pro,Month-to-Month,0
USR-20387,18,267.59,4898.8,2,2.7,Basic,One Year,0
USR-20388,37,80.96,2863.64,1,1.2,Pro,Month-to-Month,0
