Shipment_ID,Region,Carrier,Warehouse,Package_Weight_KG,Shipping_Cost_USD,Estimated_Days,Actual_Days,Delay_Days,On_Time_Delivery
SHP-60027,Latin America,FedEx,WH-Central,23.7,131.97,7,7,0,1
SHP-60028,Europe,Regional Post,WH-Central,11.1,53.25,6,6,0,1
SHP-60029,North America,UPS Global,WH-South,24.9,205.63,2,2,0,1
SHP-60030,Europe,UPS Global,WH-Central,45.0,208.05,7,7,0,1
SHP-60031,Latin America,DHL Express,WH-East,41.1,190.12,7,8,1,0
SHP-60032,Latin America,FedEx,WH-South,24.7,133.18,4,4,0,1
SHP-60033,North America,DHL Express,WH-Central,15.9,123.87,10,11,1,0
SHP-60034,Asia Pacific,Regional Post,WH-East,18.1,91.31,6,6,0,1
SHP-60035,Europe,DHL Express,WH-South,18.8,116.42,5,5,0,1
SHP-60036,Latin America,DHL Express,WH-Central,33.5,206.87,5,5,0,1
SHP-60037,North America,UPS Global,WH-Central,15.5,87.8,8,8,0,1
SHP-60038,Europe,FedEx,WH-East,27.2,187.34,5,5,0,1
SHP-60039,North America,DHL Express,WH-East,5.7,57.78,2,3,1,0
SHP-60040,Europe,DHL Express,WH-East,42.6,309.41,10,10,0,1
SHP-60041,North America,Regional Post,WH-South,41.3,291.18,8,8,0,1
SHP-60042,Latin America,UPS Global,WH-West,37.1,305.43,8,9,1,0
SHP-60043,Europe,FedEx,WH-East,30.0,186.14,6,6,0,1
SHP-60044,North America,DHL Express,WH-Central,2.9,26.31,5,9,4,0
SHP-60045,Asia Pacific,Regional Post,WH-West,23.4,124.9,7,7,0,1
SHP-60046,Latin America,FedEx,WH-Central,32.6,128.04,7,7,0,1
SHP-60047,Asia Pacific,UPS Global,WH-South,7.3,38.16,5,5,0,1
SHP-60048,Europe,DHL Express,WH-East,41.1,273.36,8,8,0,1
SHP-60049,Latin America,DHL Express,WH-East,22.4,143.83,7,7,0,1
SHP-60050,Asia Pacific,UPS Global,WH-East,15.9,114.43,3,3,0,1
SHP-60051,Latin America,Regional Post,WH-East,13.9,85.88,8,8,0,1
SHP-60052,Latin America,Regional Post,WH-South,34.4,132.9,6,6,0,1
SHP-60053,North America,DHL Express,WH-East,22.8,97.52,4,4,0,1
SHP-60054,Latin America,UPS Global,WH-East,9.5,59.61,9,13,4,0
SHP-60055,Asia Pacific,Regional Post,WH-Central,6.7,40.18,7,7,0,1
SHP-60056,North America,Regional Post,WH-South,34.1,281.18,2,2,0,1
SHP-60057,Europe,Regional Post,WH-West,44.6,254.06,8,8,0,1
SHP-60058,Europe,UPS Global,WH-West,38.2,243.85,3,3,0,1
SHP-60059,North America,DHL Express,WH-East,8.0,46.65,3,3,0,1
SHP-60060,Latin America,Regional Post,WH-South,35.7,202.24,8,8,0,1
SHP-60061,Europe,UPS Global,WH-Central,44.0,263.37,9,9,0,1
SHP-60062,Europe,UPS Global,WH-Central,8.3,59.93,4,4,0,1
SHP-60063,Latin America,UPS Global,WH-West,4.0,39.34,6,8,2,0
SHP-60064,Asia Pacific,Regional Post,WH-East,9.5,66.68,8,9,1,0
SHP-60065,Asia Pacific,DHL Express,WH-West,17.6,93.08,10,10,0,1
SHP-60066,Europe,Regional Post,WH-Central,4.4,34.65,7,8,1,0
SHP-60067,Europe,FedEx,WH-East,27.4,175.04,2,5,3,0
SHP-60068,Europe,UPS Global,WH-West,41.0,260.84,4,4,0,1
SHP-60069,Asia Pacific,Regional Post,WH-West,12.9,112.3,8,8,0,1
SHP-60070,Asia Pacific,Regional Post,WH-Central,21.9,147.25,7,7,0,1
SHP-60071,Europe,DHL Express,WH-East,1.1,20.76,7,7,0,1
SHP-60072,North America,DHL Express,WH-Central,39.8,260.71,10,10,0,1
SHP-60073,Europe,FedEx,WH-South,36.0,261.21,10,10,0,1
SHP-60074,North America,FedEx,WH-West,7.1,68.18,3,4,1,0
SHP-60075,Asia Pacific,FedEx,WH-West,14.9,82.67,6,6,0,1
SHP-60076,North America,FedEx,WH-East,21.4,141.8,3,5,2,0
SHP-60077,North America,FedEx,WH-West,12.9,60.42,9,10,1,0
SHP-60078,Asia Pacific,DHL Express,WH-Central,8.5,50.65,7,7,0,1
SHP-60079,Asia Pacific,UPS Global,WH-Central,44.6,327.1,3,3,0,1
SHP-60080,Latin America,FedEx,WH-West,0.7,15.79,6,6,0,1
SHP-60081,Latin America,Regional Post,WH-Central,20.5,92.46,7,7,0,1
SHP-60082,North America,Regional Post,WH-South,42.0,350.15,7,8,1,0
SHP-60083,North America,Regional Post,WH-West,35.3,199.74,4,4,0,1
SHP-60084,North America,DHL Express,WH-South,39.1,204.72,9,9,0,1
SHP-60085,Europe,FedEx,WH-West,27.5,235.55,6,10,4,0
SHP-60086,Latin America,UPS Global,WH-East,17.6,139.16,3,3,0,1
SHP-60087,North America,UPS Global,WH-Central,38.6,152.16,7,7,0,1
SHP-60088,North America,UPS Global,WH-West,1.3,22.56,9,9,0,1
SHP-60089,Latin America,DHL Express,WH-East,38.8,260.06,10,10,0,1
SHP-60090,Latin America,UPS Global,WH-East,10.6,54.35,9,11,2,0
SHP-60091,Latin America,DHL Express,WH-Central,20.4,108.42,3,3,0,1
SHP-60092,Latin America,DHL Express,WH-South,39.7,231.85,2,2,0,1
SHP-60093,Latin America,Regional Post,WH-South,36.6,234.17,7,8,1,0
SHP-60094,Europe,DHL Express,WH-West,43.5,367.39,7,8,1,0
SHP-60095,Latin America,UPS Global,WH-East,3.4,37.66,6,6,0,1
SHP-60096,North America,UPS Global,WH-East,18.3,143.58,10,10,0,1
SHP-60097,North America,DHL Express,WH-South,30.7,230.37,9,9,0,1
SHP-60098,Latin America,FedEx,WH-Central,23.3,99.64,7,7,0,1
SHP-60099,Latin America,Regional Post,WH-South,17.2,125.46,8,8,0,1
SHP-60100,Asia Pacific,DHL Express,WH-West,9.0,85.28,5,5,0,1
SHP-60101,Asia Pacific,FedEx,WH-South,25.4,174.08,8,8,0,1
SHP-60102,Asia Pacific,Regional Post,WH-East,43.5,330.5,7,7,0,1
SHP-60103,North America,DHL Express,WH-South,24.8,132.87,3,3,0,1
SHP-60104,Europe,UPS Global,WH-East,8.2,60.71,9,9,0,1
SHP-60105,Europe,DHL Express,WH-West,24.4,200.86,9,9,0,1
SHP-60106,North America,UPS Global,WH-East,26.0,209.85,4,4,0,1
SHP-60107,Latin America,FedEx,WH-West,7.2,63.62,7,8,1,0
SHP-60108,North America,DHL Express,WH-Central,9.4,76.52,4,4,0,1
SHP-60109,Europe,DHL Express,WH-South,18.2,107.23,6,6,0,1
SHP-60110,North America,UPS Global,WH-South,10.0,47.78,9,9,0,1
SHP-60111,Asia Pacific,UPS Global,WH-East,42.7,315.58,10,12,2,0
SHP-60112,Europe,UPS Global,WH-East,38.6,314.58,2,3,1,0
SHP-60113,Latin America,Regional Post,WH-West,26.5,121.64,3,3,0,1
SHP-60114,North America,Regional Post,WH-West,20.6,143.72,2,4,2,0
SHP-60115,Latin America,FedEx,WH-East,7.9,66.73,10,10,0,1
SHP-60116,Europe,FedEx,WH-South,25.5,204.94,9,10,1,0
SHP-60117,Latin America,Regional Post,WH-East,38.8,205.43,4,4,0,1
SHP-60118,Asia Pacific,FedEx,WH-Central,13.1,63.22,4,4,0,1
SHP-60119,Europe,FedEx,WH-East,1.5,18.76,8,8,0,1
SHP-60120,Asia Pacific,DHL Express,WH-East,26.7,230.81,7,7,0,1
SHP-60121,Asia Pacific,FedEx,WH-South,1.6,22.03,5,7,2,0
SHP-60122,North America,DHL Express,WH-West,35.0,165.44,9,11,2,0
SHP-60123,Europe,DHL Express,WH-Central,33.7,178.6,2,2,0,1
SHP-60124,Europe,Regional Post,WH-Central,31.0,207.78,8,8,0,1
SHP-60125,North America,Regional Post,WH-Central,23.0,165.99,6,6,0,1
SHP-60126,Latin America,UPS Global,WH-West,8.1,46.86,10,10,0,1
SHP-60127,Asia Pacific,FedEx,WH-Central,0.9,16.87,9,10,1,0
SHP-60128,Latin America,UPS Global,WH-West,17.7,141.75,10,10,0,1
SHP-60129,Asia Pacific,DHL Express,WH-South,19.9,89.59,4,4,0,1
SHP-60130,North America,Regional Post,WH-East,36.6,167.1,6,6,0,1
SHP-60131,North America,DHL Express,WH-East,31.2,128.94,8,8,0,1
SHP-60132,Latin America,FedEx,WH-South,33.2,142.61,10,10,0,1
SHP-60133,North America,FedEx,WH-East,17.4,78.58,6,6,0,1
SHP-60134,Europe,UPS Global,WH-Central,10.0,74.5,6,7,1,0
SHP-60135,Latin America,Regional Post,WH-Central,7.1,55.98,8,8,0,1
SHP-60136,Latin America,FedEx,WH-Central,35.7,264.36,4,4,0,1
SHP-60137,Europe,DHL Express,WH-South,2.2,29.16,6,6,0,1
SHP-60138,Europe,Regional Post,WH-Central,41.9,302.7,9,10,1,0
SHP-60139,Latin America,Regional Post,WH-West,13.0,66.55,3,7,4,0
SHP-60140,North America,UPS Global,WH-East,21.1,141.22,3,3,0,1
SHP-60141,Latin America,Regional Post,WH-Central,27.1,212.04,2,2,0,1
SHP-60142,Europe,FedEx,WH-Central,8.2,45.11,5,5,0,1
SHP-60143,Europe,UPS Global,WH-South,3.0,31.91,6,6,0,1
SHP-60144,Europe,FedEx,WH-West,14.5,93.08,3,3,0,1
SHP-60145,Asia Pacific,DHL Express,WH-East,13.0,88.11,7,7,0,1
SHP-60146,Asia Pacific,DHL Express,WH-Central,10.4,62.13,7,7,0,1
SHP-60147,Latin America,Regional Post,WH-West,27.4,118.14,10,10,0,1
SHP-60148,North America,Regional Post,WH-West,11.2,100.37,9,9,0,1
SHP-60149,Latin America,UPS Global,WH-South,14.5,90.33,7,7,0,1
SHP-60150,Latin America,Regional Post,WH-South,17.3,148.62,6,6,0,1
SHP-60151,North America,FedEx,WH-Central,31.8,138.72,6,6,0,1
SHP-60152,Europe,FedEx,WH-Central,35.2,161.9,8,8,0,1
SHP-60153,Asia Pacific,UPS Global,WH-West,31.7,252.91,6,6,0,1
SHP-60154,Asia Pacific,FedEx,WH-East,14.1,67.65,2,3,1,0
SHP-60155,Asia Pacific,DHL Express,WH-East,15.4,102.25,10,11,1,0
SHP-60156,Asia Pacific,Regional Post,WH-East,14.9,110.8,10,10,0,1
SHP-60157,Latin America,Regional Post,WH-Central,9.6,66.23,2,3,1,0
SHP-60158,Europe,UPS Global,WH-East,1.3,16.85,7,10,3,0
SHP-60159,Asia Pacific,DHL Express,WH-West,45.0,227.11,7,10,3,0
SHP-60160,Asia Pacific,DHL Express,WH-West,32.8,220.47,6,8,2,0
SHP-60161,North America,UPS Global,WH-Central,0.6,14.64,3,5,2,0
SHP-60162,North America,UPS Global,WH-Central,41.0,224.25,7,7,0,1
SHP-60163,Europe,UPS Global,WH-East,27.5,165.05,8,8,0,1
SHP-60164,Asia Pacific,FedEx,WH-South,36.6,160.41,3,4,1,0
SHP-60165,North America,FedEx,WH-West,24.9,177.63,4,4,0,1
SHP-60166,Europe,FedEx,WH-South,3.7,29.94,3,3,0,1
SHP-60167,Europe,DHL Express,WH-South,15.5,88.95,10,10,0,1
SHP-60168,Asia Pacific,Regional Post,WH-South,42.8,238.12,3,3,0,1
SHP-60169,Latin America,DHL Express,WH-West,5.9,38.44,6,6,0,1
SHP-60170,Europe,UPS Global,WH-Central,28.4,191.33,9,9,0,1
SHP-60171,North America,FedEx,WH-East,9.5,83.73,3,3,0,1
SHP-60172,Europe,UPS Global,WH-West,11.9,90.92,8,8,0,1
SHP-60173,Europe,DHL Express,WH-West,41.5,314.35,4,4,0,1
SHP-60174,Asia Pacific,UPS Global,WH-East,34.5,133.11,6,6,0,1
SHP-60175,North America,FedEx,WH-East,15.8,140.48,6,6,0,1
SHP-60176,Asia Pacific,UPS Global,WH-South,17.1,121.61,8,8,0,1
SHP-60177,North America,Regional Post,WH-Central,23.4,195.24,5,5,0,1
SHP-60178,Europe,FedEx,WH-South,40.9,208.07,9,9,0,1
SHP-60179,North America,DHL Express,WH-South,30.0,171.5,10,14,4,0
SHP-60180,Asia Pacific,FedEx,WH-South,25.4,216.77,8,8,0,1
SHP-60181,Asia Pacific,Regional Post,WH-East,41.6,158.49,5,7,2,0
SHP-60182,North America,Regional Post,WH-West,25.7,217.39,10,15,5,0
SHP-60183,Europe,Regional Post,WH-South,18.5,93.6,5,5,0,1
SHP-60184,Latin America,FedEx,WH-South,11.5,81.7,9,10,1,0
SHP-60185,North America,DHL Express,WH-West,4.2,30.59,7,7,0,1
SHP-60186,Europe,FedEx,WH-Central,7.7,55.05,4,4,0,1
SHP-60187,Europe,DHL Express,WH-Central,39.9,220.65,8,8,0,1
SHP-60188,Latin America,UPS Global,WH-Central,21.0,175.75,8,8,0,1
SHP-60189,Europe,UPS Global,WH-South,23.8,199.8,4,6,2,0
SHP-60190,Europe,FedEx,WH-Central,35.0,201.28,10,12,2,0
SHP-60191,Europe,FedEx,WH-South,1.7,23.54,8,9,1,0
SHP-60192,Europe,DHL Express,WH-West,26.5,163.32,10,10,0,1
SHP-60193,Latin America,UPS Global,WH-Central,35.7,271.97,8,8,0,1
SHP-60194,North America,FedEx,WH-East,29.4,230.82,10,10,0,1
SHP-60195,Latin America,UPS Global,WH-West,21.6,171.48,6,6,0,1
SHP-60196,North America,FedEx,WH-South,13.6,121.67,6,6,0,1
SHP-60197,Europe,Regional Post,WH-South,6.1,54.37,7,7,0,1
SHP-60198,North America,UPS Global,WH-East,37.4,182.86,6,7,1,0
SHP-60199,Europe,DHL Express,WH-East,24.6,213.42,6,8,2,0
SHP-60200,Asia Pacific,Regional Post,WH-East,25.3,215.65,3,3,0,1
SHP-60201,Latin America,DHL Express,WH-South,29.4,163.66,10,11,1,0
SHP-60202,Asia Pacific,UPS Global,WH-West,42.9,358.31,10,10,0,1
SHP-60203,Asia Pacific,UPS Global,WH-Central,27.7,120.86,4,4,0,1
SHP-60204,Asia Pacific,DHL Express,WH-West,5.4,51.89,9,9,0,1
SHP-60205,Asia Pacific,Regional Post,WH-Central,43.1,314.87,5,5,0,1
SHP-60206,North America,FedEx,WH-South,1.6,21.05,4,5,1,0
SHP-60207,North America,FedEx,WH-Central,1.5,22.79,4,8,4,0
SHP-60208,North America,FedEx,WH-Central,23.4,179.74,9,9,0,1
SHP-60209,Asia Pacific,DHL Express,WH-South,28.7,207.16,7,7,0,1
SHP-60210,Asia Pacific,Regional Post,WH-West,10.9,89.36,3,3,0,1
SHP-60211,Asia Pacific,UPS Global,WH-West,38.3,254.1,9,9,0,1
SHP-60212,North America,FedEx,WH-Central,28.6,218.73,6,6,0,1
SHP-60213,Asia Pacific,UPS Global,WH-Central,6.6,61.2,7,12,5,0
SHP-60214,Latin America,FedEx,WH-East,8.8,63.64,8,8,0,1
SHP-60215,Europe,UPS Global,WH-West,20.8,167.29,8,8,0,1
SHP-60216,Europe,FedEx,WH-East,0.7,14.69,3,3,0,1
SHP-60217,Asia Pacific,UPS Global,WH-South,35.9,169.53,7,7,0,1
SHP-60218,North America,Regional Post,WH-South,6.1,58.45,8,8,0,1
SHP-60219,Latin America,UPS Global,WH-South,9.6,58.35,9,10,1,0
SHP-60220,Europe,Regional Post,WH-South,11.3,97.15,8,8,0,1
SHP-60221,North America,FedEx,WH-South,28.4,172.13,3,3,0,1
SHP-60222,Asia Pacific,UPS Global,WH-East,15.3,135.11,3,3,0,1
SHP-60223,Latin America,UPS Global,WH-Central,8.6,62.59,9,9,0,1
SHP-60224,North America,Regional Post,WH-West,21.1,173.78,2,5,3,0
SHP-60225,North America,DHL Express,WH-Central,39.0,321.22,10,11,1,0
SHP-60226,North America,FedEx,WH-Central,4.4,29.19,6,6,0,1
SHP-60227,Latin America,UPS Global,WH-Central,1.2,21.64,2,2,0,1
SHP-60228,North America,Regional Post,WH-Central,42.7,361.54,2,2,0,1
SHP-60229,Latin America,DHL Express,WH-West,30.8,152.91,6,6,0,1
SHP-60230,North America,DHL Express,WH-Central,38.1,204.19,7,10,3,0
SHP-60231,North America,FedEx,WH-South,25.4,182.03,4,5,1,0
SHP-60232,North America,DHL Express,WH-West,41.6,332.36,5,5,0,1
SHP-60233,Europe,DHL Express,WH-East,34.7,237.44,7,7,0,1
SHP-60234,North America,UPS Global,WH-West,7.0,61.36,5,7,2,0
SHP-60235,North America,Regional Post,WH-East,31.1,257.28,3,3,0,1
SHP-60236,Europe,Regional Post,WH-South,17.5,111.7,10,10,0,1
SHP-60237,Latin America,DHL Express,WH-South,2.9,26.83,2,2,0,1
SHP-60238,Asia Pacific,DHL Express,WH-Central,4.7,40.39,4,4,0,1
SHP-60239,Asia Pacific,DHL Express,WH-East,29.8,217.86,2,2,0,1
SHP-60240,North America,UPS Global,WH-West,41.1,347.6,5,5,0,1
SHP-60241,Europe,FedEx,WH-Central,19.8,113.96,7,7,0,1
SHP-60242,North America,DHL Express,WH-West,42.0,174.58,10,10,0,1
SHP-60243,North America,FedEx,WH-South,33.1,215.95,8,8,0,1
SHP-60244,Europe,UPS Global,WH-West,21.5,141.49,8,8,0,1
SHP-60245,Asia Pacific,Regional Post,WH-East,32.4,187.72,6,7,1,0
SHP-60246,Asia Pacific,Regional Post,WH-East,43.3,336.95,3,3,0,1
SHP-60247,Latin America,Regional Post,WH-Central,25.7,123.74,5,5,0,1
SHP-60248,Asia Pacific,UPS Global,WH-Central,27.9,110.3,10,11,1,0
SHP-60249,Asia Pacific,UPS Global,WH-East,33.2,154.51,5,7,2,0
SHP-60250,Latin America,DHL Express,WH-Central,29.7,231.0,2,2,0,1
SHP-60251,Europe,Regional Post,WH-East,37.9,322.52,10,11,1,0
SHP-60252,North America,DHL Express,WH-East,35.4,284.84,10,11,1,0
SHP-60253,Europe,Regional Post,WH-East,5.5,32.39,9,10,1,0
SHP-60254,Asia Pacific,UPS Global,WH-Central,11.9,101.59,5,5,0,1
SHP-60255,Europe,UPS Global,WH-South,21.4,95.89,3,3,0,1
SHP-60256,Asia Pacific,DHL Express,WH-East,0.8,15.82,4,4,0,1
SHP-60257,Europe,DHL Express,WH-South,15.7,73.48,8,11,3,0
SHP-60258,North America,DHL Express,WH-East,24.2,154.98,10,10,0,1
SHP-60259,Latin America,Regional Post,WH-Central,33.6,146.47,5,5,0,1
SHP-60260,Latin America,FedEx,WH-West,8.5,56.48,8,8,0,1
SHP-60261,Europe,DHL Express,WH-Central,25.6,144.32,10,10,0,1
SHP-60262,North America,Regional Post,WH-West,6.9,49.65,3,3,0,1
SHP-60263,North America,FedEx,WH-South,43.1,254.27,3,5,2,0
SHP-60264,Asia Pacific,FedEx,WH-South,44.3,233.34,5,8,3,0
SHP-60265,Asia Pacific,DHL Express,WH-Central,30.2,206.52,6,6,0,1
SHP-60266,Asia Pacific,Regional Post,WH-South,6.5,52.7,10,10,0,1
SHP-60267,North America,DHL Express,WH-West,4.8,49.82,2,2,0,1
SHP-60268,North America,UPS Global,WH-Central,40.2,253.86,9,9,0,1
SHP-60269,North America,UPS Global,WH-West,16.9,126.14,9,9,0,1
SHP-60270,Latin America,Regional Post,WH-West,6.3,45.1,6,6,0,1
SHP-60271,Latin America,DHL Express,WH-South,35.4,165.19,9,11,2,0
SHP-60272,Latin America,FedEx,WH-West,25.0,141.89,3,3,0,1
SHP-60273,North America,Regional Post,WH-South,8.5,57.11,8,8,0,1
SHP-60274,Europe,Regional Post,WH-West,12.3,85.32,2,2,0,1
SHP-60275,Asia Pacific,FedEx,WH-South,24.6,183.46,6,8,2,0
SHP-60276,Latin America,UPS Global,WH-West,44.3,181.69,3,3,0,1
SHP-60277,Europe,FedEx,WH-East,41.5,215.25,3,3,0,1
SHP-60278,Asia Pacific,FedEx,WH-Central,43.1,270.62,7,7,0,1
SHP-60279,Asia Pacific,DHL Express,WH-Central,14.4,73.79,2,2,0,1
SHP-60280,Asia Pacific,UPS Global,WH-East,18.5,95.51,8,8,0,1
SHP-60281,Latin America,UPS Global,WH-East,22.2,95.24,5,6,1,0
SHP-60282,Asia Pacific,Regional Post,WH-Central,36.0,157.76,2,2,0,1
SHP-60283,Latin America,DHL Express,WH-Central,39.3,289.4,2,2,0,1
SHP-60284,Asia Pacific,Regional Post,WH-East,34.0,246.76,3,3,0,1
SHP-60285,North America,DHL Express,WH-South,36.6,187.49,2,2,0,1
SHP-60286,Europe,DHL Express,WH-South,39.3,176.5,8,8,0,1
SHP-60287,Latin America,Regional Post,WH-South,10.5,79.31,10,10,0,1
SHP-60288,Latin America,DHL Express,WH-East,33.3,240.38,2,2,0,1
SHP-60289,Asia Pacific,UPS Global,WH-East,32.2,229.09,7,10,3,0
SHP-60290,Europe,DHL Express,WH-West,20.1,150.32,7,7,0,1
SHP-60291,North America,Regional Post,WH-South,3.2,32.0,10,11,1,0
SHP-60292,Latin America,FedEx,WH-East,44.9,332.02,6,6,0,1
SHP-60293,Asia Pacific,UPS Global,WH-South,4.0,30.11,7,7,0,1
SHP-60294,Latin America,FedEx,WH-Central,25.2,110.87,2,2,0,1
SHP-60295,Asia Pacific,FedEx,WH-South,39.6,332.71,8,8,0,1
SHP-60296,Asia Pacific,FedEx,WH-West,0.8,16.89,3,3,0,1
SHP-60297,Latin America,Regional Post,WH-West,41.4,157.54,8,8,0,1
SHP-60298,North America,DHL Express,WH-East,19.8,145.18,3,3,0,1
SHP-60299,North America,Regional Post,WH-East,24.0,118.87,4,4,0,1
SHP-60300,Latin America,UPS Global,WH-West,44.9,378.26,3,3,0,1
SHP-60301,North America,DHL Express,WH-South,25.4,205.34,5,5,0,1
SHP-60302,Asia Pacific,FedEx,WH-South,29.3,138.9,3,5,2,0
SHP-60303,Latin America,DHL Express,WH-East,6.3,35.93,4,4,0,1
SHP-60304,Europe,FedEx,WH-South,9.7,48.01,8,8,0,1
SHP-60305,Europe,Regional Post,WH-Central,42.7,207.04,9,9,0,1
SHP-60306,Asia Pacific,DHL Express,WH-East,25.0,200.24,7,8,1,0
SHP-60307,Asia Pacific,UPS Global,WH-East,9.1,60.33,6,6,0,1
SHP-60308,Europe,FedEx,WH-East,42.1,260.77,6,6,0,1
SHP-60309,Asia Pacific,FedEx,WH-West,37.1,198.3,6,6,0,1
SHP-60310,Europe,UPS Global,WH-East,12.0,104.35,8,8,0,1
SHP-60311,Europe,UPS Global,WH-Central,24.0,144.64,3,5,2,0
SHP-60312,Europe,DHL Express,WH-Central,19.5,154.22,5,5,0,1
SHP-60313,Europe,Regional Post,WH-West,42.4,299.2,8,8,0,1
SHP-60314,North America,FedEx,WH-East,42.6,309.52,7,7,0,1
SHP-60315,Europe,FedEx,WH-East,36.7,153.66,10,10,0,1
SHP-60316,Europe,DHL Express,WH-South,26.5,131.31,5,6,1,0
SHP-60317,North America,FedEx,WH-East,28.5,193.11,8,8,0,1
SHP-60318,North America,FedEx,WH-East,38.7,297.09,10,11,1,0
SHP-60319,North America,DHL Express,WH-Central,11.0,90.02,10,10,0,1
SHP-60320,Europe,UPS Global,WH-East,16.6,112.45,9,9,0,1
SHP-60321,Latin America,DHL Express,WH-South,18.6,120.37,2,2,0,1
SHP-60322,Asia Pacific,UPS Global,WH-West,41.8,287.19,10,10,0,1
SHP-60323,Latin America,UPS Global,WH-Central,1.8,24.44,4,4,0,1
SHP-60324,Latin America,DHL Express,WH-West,26.2,203.14,7,7,0,1
SHP-60325,Europe,UPS Global,WH-East,4.5,37.56,10,10,0,1
SHP-60326,Europe,Regional Post,WH-West,29.3,198.11,3,4,1,0
SHP-60327,Asia Pacific,Regional Post,WH-South,30.6,222.71,3,5,2,0
SHP-60328,Asia Pacific,UPS Global,WH-Central,43.4,230.06,8,8,0,1
SHP-60329,Europe,FedEx,WH-South,9.0,54.52,9,10,1,0
SHP-60330,North America,Regional Post,WH-Central,44.1,349.38,8,8,0,1
SHP-60331,North America,UPS Global,WH-Central,29.9,171.31,10,10,0,1
SHP-60332,North America,UPS Global,WH-South,6.0,46.63,8,8,0,1
SHP-60333,North America,FedEx,WH-West,29.8,232.03,7,7,0,1
SHP-60334,Latin America,DHL Express,WH-South,41.5,258.88,7,10,3,0
SHP-60335,Asia Pacific,DHL Express,WH-Central,13.3,85.74,6,6,0,1
SHP-60336,Asia Pacific,Regional Post,WH-East,24.2,153.09,7,7,0,1
SHP-60337,Asia Pacific,Regional Post,WH-South,23.8,109.84,5,5,0,1
SHP-60338,North America,DHL Express,WH-South,42.5,350.91,2,3,1,0
SHP-60339,North America,Regional Post,WH-South,12.7,82.57,6,6,0,1
SHP-60340,North America,Regional Post,WH-East,14.8,87.26,2,6,4,0
SHP-60341,Europe,FedEx,WH-West,36.8,304.13,6,6,0,1
SHP-60342,Europe,DHL Express,WH-South,32.8,277.12,9,9,0,1
SHP-60343,Latin America,FedEx,WH-East,22.8,146.08,5,5,0,1
SHP-60344,North America,FedEx,WH-South,40.3,309.54,2,4,2,0
SHP-60345,Asia Pacific,FedEx,WH-South,9.7,53.66,3,4,1,0
SHP-60346,Asia Pacific,Regional Post,WH-South,23.4,154.17,8,8,0,1
SHP-60347,Asia Pacific,FedEx,WH-East,33.9,144.62,10,10,0,1
SHP-60348,Europe,Regional Post,WH-West,18.3,139.96,2,3,1,0
SHP-60349,North America,UPS Global,WH-South,36.6,215.76,6,9,3,0
SHP-60350,Europe,Regional Post,WH-East,29.3,245.99,3,3,0,1
SHP-60351,North America,UPS Global,WH-West,33.4,216.86,4,4,0,1
SHP-60352,Europe,UPS Global,WH-West,35.9,182.05,5,5,0,1
SHP-60353,North America,Regional Post,WH-West,14.6,82.32,5,5,0,1
SHP-60354,Asia Pacific,UPS Global,WH-South,5.4,52.07,9,9,0,1
