Date,Close_Price_USD,Daily_Volume,Market_Sentiment_Score,RSI_14,Daily_Return_Pct
2023-02-28,117.28,943402,0.54,79.6,-1.91
2023-03-01,121.33,4811317,0.78,50.0,3.45
2023-03-02,116.76,3069555,0.66,29.3,-3.77
2023-03-03,113.17,1643626,0.44,50.8,-3.07
2023-03-06,117.61,1097275,0.46,62.4,3.92
2023-03-07,117.73,4170408,0.31,21.6,0.1
2023-03-08,115.5,1125218,0.92,58.7,-1.89
2023-03-09,116.06,3748006,0.48,63.7,0.48
2023-03-10,114.12,2188331,0.68,24.5,-1.67
2023-03-13,115.75,3670884,0.2,38.3,1.43
2023-03-14,111.74,3584341,0.59,58.2,-3.46
2023-03-15,113.45,2101453,0.76,73.9,1.53
2023-03-16,116.06,2702081,0.21,28.0,2.3
2023-03-17,115.5,3629627,0.33,60.3,-0.48
2023-03-20,115.06,651043,0.97,25.1,-0.38
2023-03-21,110.68,2695225,0.08,53.4,-3.81
2023-03-22,110.59,1494048,0.5,48.3,-0.08
2023-03-23,109.42,3858682,0.09,49.2,-1.06
2023-03-24,111.0,830591,0.36,48.8,1.44
2023-03-27,109.17,959813,0.18,48.3,-1.65
2023-03-28,108.87,2386894,0.7,45.5,-0.27
2023-03-29,107.13,4213087,0.43,55.8,-1.6
2023-03-30,106.13,2963489,0.54,44.7,-0.93
2023-03-31,105.36,1065171,0.31,25.5,-0.73
2023-04-03,107.64,504226,0.35,23.1,2.16
2023-04-04,104.25,4663787,0.59,53.3,-3.15
2023-04-05,102.36,599158,0.81,42.3,-1.81
2023-04-06,104.05,4472470,0.8,29.8,1.65
2023-04-07,104.31,1973250,0.15,22.0,0.25
2023-04-10,107.21,4448249,0.53,41.9,2.78
2023-04-11,105.42,2756790,0.26,58.9,-1.67
2023-04-12,104.22,3299804,0.18,58.4,-1.14
2023-04-13,105.61,4285820,0.31,64.9,1.33
2023-04-14,105.57,3407060,0.92,29.1,-0.04
2023-04-17,104.14,2663548,0.18,60.1,-1.35
2023-04-18,104.96,3892886,0.68,37.1,0.79
2023-04-19,103.27,4197769,0.82,37.5,-1.61
2023-04-20,106.42,3573485,0.34,25.6,3.05
2023-04-21,107.47,4346897,0.4,76.2,0.99
2023-04-24,110.86,4225704,0.46,67.4,3.15
2023-04-25,111.49,4252129,0.26,42.8,0.57
2023-04-26,113.83,3660190,0.75,66.0,2.1
2023-04-27,116.43,3381529,0.51,49.8,2.28
2023-04-28,119.71,3026469,0.73,55.9,2.82
2023-05-01,121.75,3002109,0.57,56.9,1.7
2023-05-02,119.8,2807139,0.69,36.4,-1.6
2023-05-03,117.9,2273677,0.3,77.4,-1.59
2023-05-04,118.69,1933742,0.22,37.0,0.67
2023-05-05,120.69,2643220,0.57,35.9,1.69
2023-05-08,123.76,4163554,0.56,32.5,2.54
2023-05-09,123.62,3162023,0.92,28.7,-0.11
2023-05-10,120.93,1315131,0.62,74.1,-2.18
2023-05-11,125.79,4845954,0.85,42.3,4.02
2023-05-12,125.55,4981463,0.41,35.0,-0.19
2023-05-15,123.51,3196996,0.02,55.8,-1.62
2023-05-16,123.94,3494446,0.41,69.6,0.35
2023-05-17,121.78,2258626,0.65,23.1,-1.74
2023-05-18,119.95,2165638,0.16,59.1,-1.5
2023-05-19,118.54,569743,0.04,72.7,-1.18
2023-05-22,119.81,4011396,0.54,35.9,1.07
2023-05-23,116.7,4655213,1.0,59.8,-2.6
2023-05-24,118.03,3284030,0.67,37.8,1.14
2023-05-25,119.93,4837259,0.09,72.2,1.61
2023-05-26,124.44,1355425,0.25,63.1,3.76
2023-05-29,125.02,2864880,0.57,48.2,0.47
2023-05-30,123.83,2849152,0.19,46.8,-0.95
2023-05-31,122.49,2579591,0.64,76.1,-1.08
2023-06-01,125.02,2614516,0.43,60.9,2.07
2023-06-02,129.79,1176155,0.46,35.7,3.82
2023-06-05,131.17,3318144,0.58,52.1,1.06
2023-06-06,132.02,1708436,0.29,57.3,0.65
2023-06-07,134.09,4089128,0.34,57.2,1.57
2023-06-08,130.71,4316783,0.49,55.4,-2.52
2023-06-09,128.27,4447990,0.43,39.8,-1.87
2023-06-12,127.84,4290972,0.79,65.5,-0.34
2023-06-13,129.56,535831,0.46,26.9,1.35
2023-06-14,123.9,2287014,0.0,45.0,-4.37
2023-06-15,124.1,3253923,0.49,77.8,0.16
2023-06-16,121.04,3292327,0.65,59.8,-2.47
2023-06-19,124.25,2251498,0.65,35.1,2.65
2023-06-20,126.47,728299,0.32,26.7,1.79
2023-06-21,128.9,4929066,0.1,37.2,1.92
2023-06-22,128.09,4039424,0.83,63.1,-0.63
2023-06-23,127.01,1086409,0.28,78.9,-0.84
2023-06-26,123.64,1641715,0.74,62.3,-2.65
2023-06-27,123.21,1020953,0.32,78.0,-0.35
2023-06-28,123.47,4013866,0.44,40.1,0.21
2023-06-29,123.52,3151410,0.56,78.1,0.04
2023-06-30,124.06,1595018,0.54,47.0,0.44
2023-07-03,125.6,943401,0.41,32.8,1.24
2023-07-04,122.55,4627681,0.64,24.0,-2.43
2023-07-05,119.91,2884619,0.69,37.9,-2.15
2023-07-06,121.38,2077503,0.33,71.7,1.23
2023-07-07,121.76,1141711,0.39,32.6,0.31
2023-07-10,121.01,2060348,0.22,53.5,-0.62
2023-07-11,117.46,898342,0.53,74.4,-2.93
2023-07-12,115.93,3006580,0.61,40.8,-1.3
2023-07-13,117.2,3866682,0.33,42.6,1.1
2023-07-14,116.13,2986817,0.68,24.8,-0.91
2023-07-17,117.33,4880979,0.44,30.6,1.03
2023-07-18,120.62,4889855,0.95,62.3,2.8
2023-07-19,118.59,3151629,0.72,70.1,-1.68
2023-07-20,117.05,4912174,0.34,65.7,-1.3
2023-07-21,118.23,1811299,0.76,79.6,1.01
2023-07-24,121.83,4266548,0.0,73.0,3.04
2023-07-25,121.58,1164733,0.57,60.2,-0.21
2023-07-26,122.35,4361037,0.37,25.5,0.63
2023-07-27,121.96,2258320,0.0,64.7,-0.32
2023-07-28,123.33,4128834,0.42,76.7,1.12
2023-07-31,117.39,1563474,0.4,67.3,-4.82
2023-08-01,120.67,3764837,0.32,28.2,2.79
2023-08-02,123.95,3334713,0.37,31.2,2.72
2023-08-03,125.56,3676925,0.72,78.9,1.3
2023-08-04,125.4,4743117,0.36,79.6,-0.13
2023-08-07,122.61,2753495,0.53,46.3,-2.22
2023-08-08,125.9,3911646,0.7,30.9,2.68
2023-08-09,121.92,2731032,0.39,58.3,-3.16
2023-08-10,119.47,3589381,0.91,48.8,-2.01
2023-08-11,118.3,2117976,0.72,77.2,-0.98
2023-08-14,121.04,4299335,0.83,50.0,2.32
2023-08-15,120.97,2636490,0.43,39.8,-0.06
2023-08-16,119.94,4441104,0.7,33.1,-0.85
2023-08-17,123.54,2350748,0.34,64.7,3.0
2023-08-18,123.04,3388960,0.39,68.9,-0.4
2023-08-21,124.96,689961,0.0,38.7,1.56
2023-08-22,125.92,1778365,0.66,39.9,0.77
2023-08-23,123.41,4872205,0.97,56.2,-1.99
2023-08-24,124.31,4273767,0.13,73.5,0.73
2023-08-25,127.64,2959302,0.46,26.3,2.68
2023-08-28,122.53,1080076,0.84,41.6,-4.0
2023-08-29,119.9,2894856,0.32,44.0,-2.15
2023-08-30,119.0,3779729,0.36,70.5,-0.75
2023-08-31,121.03,585221,0.48,37.8,1.71
2023-09-01,123.68,2719262,0.44,64.8,2.19
2023-09-04,120.44,2238363,0.67,31.2,-2.62
2023-09-05,122.35,1867635,0.94,37.0,1.59
2023-09-06,120.78,4402757,0.36,75.1,-1.28
2023-09-07,120.55,4050399,0.51,73.5,-0.19
2023-09-08,120.81,3123836,0.84,55.0,0.22
2023-09-11,117.43,1839324,0.24,45.3,-2.8
2023-09-12,119.65,3209780,0.55,32.4,1.89
2023-09-13,124.25,895929,0.81,33.5,3.84
2023-09-14,127.16,742731,0.41,61.6,2.34
2023-09-15,127.52,4684229,1.0,25.5,0.28
2023-09-18,127.66,2377753,0.36,34.9,0.11
2023-09-19,124.89,3188284,0.66,73.5,-2.17
2023-09-20,117.54,820368,0.24,52.5,-5.89
2023-09-21,118.65,2332572,0.51,32.4,0.94
2023-09-22,117.98,3235335,0.95,44.2,-0.56
2023-09-25,121.07,4273630,0.55,49.5,2.62
2023-09-26,118.74,3174037,0.48,75.6,-1.92
2023-09-27,117.3,3587770,0.7,47.8,-1.21
2023-09-28,120.1,2981477,0.31,41.2,2.39
2023-09-29,117.39,3610945,0.51,78.6,-2.26
2023-10-02,119.38,2513186,0.54,61.3,1.7
2023-10-03,117.36,1196077,0.71,46.6,-1.69
2023-10-04,116.79,2901029,0.73,73.9,-0.49
2023-10-05,114.14,1845982,0.37,61.4,-2.27
2023-10-06,116.97,3578394,0.86,28.6,2.48
2023-10-09,121.71,4942552,0.26,58.7,4.05
2023-10-10,118.04,1123323,0.5,43.7,-3.02
2023-10-11,116.44,2051674,0.97,25.6,-1.36
2023-10-12,117.51,2977963,0.29,62.6,0.92
2023-10-13,117.25,2215549,0.58,22.4,-0.22
2023-10-16,117.71,3735631,0.37,65.9,0.39
2023-10-17,119.52,715760,0.31,50.8,1.54
2023-10-18,119.76,975495,0.36,31.3,0.2
2023-10-19,119.39,2529811,0.12,30.3,-0.31
2023-10-20,122.99,2886671,0.33,72.7,3.02
2023-10-23,122.25,1950159,0.9,55.0,-0.6
2023-10-24,124.69,2929018,0.5,58.6,2.0
2023-10-25,124.88,2601467,0.45,25.4,0.15
2023-10-26,125.23,825353,0.4,41.7,0.28
2023-10-27,125.95,4511392,0.37,54.3,0.57
2023-10-30,125.32,725734,0.46,36.9,-0.5
2023-10-31,126.66,2621316,0.19,25.3,1.07
2023-11-01,127.77,1790698,0.15,39.5,0.88
2023-11-02,127.02,1229476,0.56,77.3,-0.59
2023-11-03,127.39,3038431,0.33,64.5,0.29
2023-11-06,127.24,4713929,0.32,62.6,-0.12
2023-11-07,125.79,4127278,0.53,61.5,-1.14
2023-11-08,127.73,3989751,0.33,25.2,1.54
2023-11-09,125.9,1577283,0.51,27.0,-1.43
2023-11-10,126.35,1887679,0.54,57.2,0.36
2023-11-13,129.09,4715282,0.24,25.0,2.17
2023-11-14,129.32,3061171,0.61,53.6,0.18
2023-11-15,130.88,925632,0.76,53.4,1.21
2023-11-16,128.68,3686380,0.19,60.6,-1.68
2023-11-17,128.04,2079205,0.72,27.0,-0.5
2023-11-20,125.03,802831,0.34,50.8,-2.35
2023-11-21,126.53,3192184,0.57,43.6,1.2
2023-11-22,122.77,2235578,0.33,25.6,-2.97
2023-11-23,124.4,4115809,0.45,72.9,1.33
2023-11-24,122.65,3019877,0.29,78.4,-1.41
2023-11-27,121.9,1080531,0.13,74.7,-0.61
2023-11-28,125.75,2325822,0.75,61.4,3.16
2023-11-29,126.63,1465960,0.44,73.3,0.7
2023-11-30,127.39,800016,0.22,39.3,0.6
2023-12-01,128.2,2227585,0.41,66.9,0.64
2023-12-04,133.13,2588892,0.57,36.3,3.85
2023-12-05,134.17,4105904,0.18,21.7,0.78
2023-12-06,132.39,4855689,0.51,48.5,-1.33
2023-12-07,131.82,4660174,0.55,47.2,-0.43
2023-12-08,131.9,4352302,0.36,29.1,0.06
2023-12-11,134.04,2252947,0.61,27.1,1.62
2023-12-12,135.69,4673023,0.53,77.6,1.23
2023-12-13,134.78,960285,0.5,38.9,-0.67
2023-12-14,138.0,759853,0.23,77.2,2.39
2023-12-15,138.27,3680252,0.17,71.6,0.2
2023-12-18,139.06,4372656,0.75,21.4,0.57
2023-12-19,137.21,3877200,0.78,74.8,-1.33
2023-12-20,141.56,3832065,0.0,61.2,3.17
2023-12-21,141.74,2578853,0.9,33.1,0.13
2023-12-22,141.21,1406766,0.51,64.5,-0.37
2023-12-25,139.34,721694,0.92,54.8,-1.32
2023-12-26,140.03,907318,0.43,53.6,0.5
2023-12-27,140.62,3001856,0.65,32.9,0.42
2023-12-28,144.91,3332373,0.58,73.4,3.05
2023-12-29,145.37,4913521,0.3,53.1,0.32
2024-01-01,142.75,2541836,0.25,48.1,-1.8
2024-01-02,142.61,4634640,0.49,31.2,-0.1
2024-01-03,137.45,1685924,0.42,61.2,-3.62
2024-01-04,135.4,2801395,0.43,41.4,-1.49
2024-01-05,136.66,1459052,0.5,73.6,0.93
2024-01-08,140.91,2301631,0.38,75.2,3.11
2024-01-09,139.48,2473065,0.48,45.7,-1.01
2024-01-10,134.35,4602357,0.36,31.7,-3.68
2024-01-11,137.8,2114878,0.17,28.7,2.57
2024-01-12,137.9,2665079,0.55,61.7,0.07
2024-01-15,135.72,4852696,0.64,38.7,-1.58
2024-01-16,131.99,4839096,0.71,45.8,-2.75
2024-01-17,128.39,1324305,0.55,43.6,-2.73
2024-01-18,127.47,823725,0.51,44.0,-0.72
2024-01-19,129.17,1914797,0.64,54.5,1.33
2024-01-22,128.6,2682280,0.51,41.5,-0.44
2024-01-23,127.78,1430364,0.78,65.0,-0.64
2024-01-24,127.34,3602706,0.94,46.4,-0.34
2024-01-25,123.99,2296637,0.39,62.2,-2.63
2024-01-26,124.73,3697814,0.44,27.1,0.6
2024-01-29,123.05,2162984,1.0,72.6,-1.35
2024-01-30,125.51,1895746,0.64,44.0,2.0
2024-01-31,125.53,3366346,0.06,40.4,0.02
2024-02-01,124.1,3441332,0.32,74.6,-1.14
2024-02-02,125.18,2570296,0.72,42.8,0.87
2024-02-05,125.34,2441745,0.0,50.0,0.13
2024-02-06,126.92,729030,0.61,31.9,1.26
2024-02-07,129.47,3140405,0.24,36.8,2.01
2024-02-08,127.96,3941606,0.78,67.3,-1.17
2024-02-09,129.68,558261,0.53,71.1,1.34
2024-02-12,134.7,1654832,0.84,29.1,3.87
2024-02-13,135.74,4884384,0.0,42.6,0.77
2024-02-14,131.33,1554512,0.22,61.4,-3.25
2024-02-15,129.21,4233104,0.17,64.6,-1.61
2024-02-16,130.03,4949124,0.26,33.9,0.63
2024-02-19,127.35,964349,0.82,76.5,-2.06
2024-02-20,125.86,4283106,0.84,21.3,-1.17
2024-02-21,126.29,746429,0.34,66.9,0.34
2024-02-22,125.6,3525866,0.44,22.0,-0.55
2024-02-23,126.77,2677864,0.61,71.4,0.93
2024-02-26,126.96,2517863,0.0,36.5,0.15
2024-02-27,125.32,2781786,0.47,31.3,-1.29
2024-02-28,125.31,4387264,0.22,22.0,-0.01
2024-02-29,124.87,4585371,0.36,75.7,-0.35
2024-03-01,123.34,3313404,0.82,72.6,-1.23
2024-03-04,126.32,3481306,0.82,35.3,2.42
2024-03-05,124.69,3262394,0.34,37.6,-1.29
2024-03-06,128.02,4492802,0.0,70.6,2.67
2024-03-07,127.4,4150078,0.28,27.8,-0.48
2024-03-08,125.98,600502,0.75,26.7,-1.11
2024-03-11,129.75,1060668,0.41,58.9,2.99
2024-03-12,128.07,4366789,0.57,54.8,-1.29
2024-03-13,128.87,3175330,0.12,55.1,0.62
2024-03-14,129.28,3933451,0.87,62.7,0.32
2024-03-15,125.29,4044712,0.35,36.7,-3.09
2024-03-18,125.01,1264171,0.16,61.2,-0.22
2024-03-19,124.79,1259147,0.43,46.7,-0.18
2024-03-20,119.28,1367716,0.64,27.5,-4.42
2024-03-21,118.93,3334014,0.3,46.9,-0.29
2024-03-22,122.38,2508296,0.38,22.5,2.9
2024-03-25,121.38,3031141,1.0,53.6,-0.82
2024-03-26,125.67,2919439,0.8,30.4,3.53
2024-03-27,124.85,2557083,0.16,38.8,-0.65
2024-03-28,124.16,2194441,0.61,58.4,-0.55
2024-03-29,120.93,4458348,0.54,62.8,-2.6
2024-04-01,123.03,1546012,0.22,59.6,1.74
2024-04-02,124.25,3232265,0.54,42.7,0.99
2024-04-03,120.79,4462385,0.03,25.8,-2.78
2024-04-04,123.15,1589635,0.65,73.0,1.95
2024-04-05,123.1,4901384,0.41,71.9,-0.04
2024-04-08,128.73,4876677,0.34,67.4,4.57
2024-04-09,127.87,517021,1.0,49.3,-0.67
2024-04-10,126.93,3994038,0.44,27.2,-0.74
2024-04-11,126.27,2635560,0.74,42.9,-0.52
2024-04-12,122.87,4734882,0.0,34.5,-2.69
2024-04-15,123.06,3045365,0.22,30.3,0.15
2024-04-16,123.62,4605994,0.0,32.8,0.46
2024-04-17,123.24,4830034,0.07,75.0,-0.31
2024-04-18,125.7,2049582,0.17,34.5,2.0
2024-04-19,129.18,2952760,0.5,53.6,2.77
2024-04-22,131.25,4346102,0.16,20.3,1.6
2024-04-23,128.38,1515018,0.56,58.0,-2.19
2024-04-24,127.68,1295297,0.63,29.4,-0.55
2024-04-25,127.77,758320,0.1,53.0,0.07
2024-04-26,128.55,4552291,0.63,54.3,0.61
2024-04-29,125.9,3904653,0.32,44.7,-2.06
2024-04-30,128.8,3524812,0.54,74.6,2.3
2024-05-01,130.5,2303615,0.24,69.7,1.32
2024-05-02,129.23,1029969,0.31,44.6,-0.97
2024-05-03,125.79,4942661,0.77,28.0,-2.66
2024-05-06,128.68,616365,0.75,31.3,2.3
2024-05-07,131.39,677628,0.49,46.8,2.11
2024-05-08,132.48,1009781,0.23,51.7,0.83
2024-05-09,128.74,4146054,0.47,65.1,-2.82
2024-05-10,130.35,806892,0.43,49.9,1.25
2024-05-13,132.55,794632,0.15,54.2,1.69
2024-05-14,134.84,2789774,0.31,50.3,1.73
2024-05-15,131.93,4150672,0.29,49.5,-2.16
2024-05-16,131.14,3934010,0.75,76.0,-0.6
2024-05-17,132.3,997152,0.73,71.1,0.88
2024-05-20,133.44,2756715,0.14,68.7,0.86
2024-05-21,131.47,4082527,0.67,48.3,-1.48
2024-05-22,130.32,4776774,0.65,29.6,-0.87
2024-05-23,137.14,2777056,1.0,49.9,5.23
2024-05-24,137.03,838548,0.49,31.6,-0.08
2024-05-27,136.44,1751290,0.62,23.7,-0.43
2024-05-28,135.09,2393880,0.56,23.5,-0.99
2024-05-29,138.02,2644875,0.79,40.7,2.17
2024-05-30,140.4,4218681,0.43,33.4,1.72
2024-05-31,146.13,776887,0.53,79.9,4.08
2024-06-03,141.85,2663509,0.6,66.5,-2.93
2024-06-04,144.37,3310279,0.56,25.2,1.78
2024-06-05,142.99,1745586,0.49,36.3,-0.96
2024-06-06,140.71,1524850,0.67,27.5,-1.59
2024-06-07,140.34,707393,0.34,23.7,-0.26
2024-06-10,141.87,2261116,0.04,44.0,1.09
2024-06-11,144.29,2252095,0.38,31.6,1.71
2024-06-12,142.5,2663186,0.51,27.8,-1.24
2024-06-13,140.24,3857513,0.45,29.6,-1.59
2024-06-14,143.23,4403664,0.4,28.4,2.13
2024-06-17,144.46,2338079,0.02,49.8,0.86
2024-06-18,145.58,2243971,0.7,26.1,0.78
2024-06-19,145.85,4455523,0.68,69.5,0.19
2024-06-20,145.49,946329,0.11,20.4,-0.25
2024-06-21,144.77,2241611,0.3,35.1,-0.49
2024-06-24,146.25,4239397,0.4,20.7,1.02
2024-06-25,146.95,2149644,0.67,61.0,0.48
2024-06-26,144.82,4817100,0.27,32.6,-1.45
2024-06-27,144.39,1191972,0.75,27.7,-0.3
2024-06-28,141.16,606043,0.08,36.2,-2.24
2024-07-01,141.46,4893657,0.61,68.1,0.21
2024-07-02,139.99,1453548,0.31,48.7,-1.04
2024-07-03,136.85,638936,0.67,73.6,-2.24
2024-07-04,135.53,3599834,0.3,70.6,-0.96
2024-07-05,134.32,1708626,0.67,25.8,-0.89
2024-07-08,130.71,2366111,0.53,47.8,-2.69
2024-07-09,129.55,752643,0.27,39.4,-0.89
2024-07-10,128.87,4277408,0.16,31.9,-0.52
2024-07-11,135.06,4095999,0.38,51.3,4.8
2024-07-12,134.06,1613893,0.63,51.6,-0.74
2024-07-15,130.95,818902,0.38,33.3,-2.32
2024-07-16,126.12,4432152,0.65,74.8,-3.69
2024-07-17,124.97,2326139,0.23,60.7,-0.91
2024-07-18,126.95,2496677,0.62,29.9,1.58
2024-07-19,125.19,4028298,0.37,77.8,-1.39
2024-07-22,126.42,750428,0.08,27.7,0.98
2024-07-23,128.94,4895698,0.52,44.3,1.99
2024-07-24,128.7,4339823,0.44,33.4,-0.19
2024-07-25,128.06,1285344,0.75,72.2,-0.5
2024-07-26,129.57,4961835,0.21,45.7,1.18
2024-07-29,131.58,1246811,0.76,73.4,1.55
2024-07-30,134.58,2053557,0.5,38.6,2.28
2024-07-31,136.13,1780973,0.31,26.2,1.15
2024-08-01,133.74,2530155,0.84,74.5,-1.76
2024-08-02,132.29,3978186,0.56,33.7,-1.08
2024-08-05,129.76,2924562,0.29,20.4,-1.91
2024-08-06,127.81,2899113,0.42,44.9,-1.5
2024-08-07,124.79,3587017,0.65,31.9,-2.36
2024-08-08,122.23,2322009,0.56,21.9,-2.05
2024-08-09,124.86,631702,0.89,59.7,2.15
2024-08-12,124.46,2211476,0.0,42.8,-0.32
2024-08-13,122.13,1907145,0.77,41.1,-1.87
2024-08-14,119.2,2218723,0.78,63.2,-2.4
2024-08-15,119.87,2215513,0.36,37.1,0.56
2024-08-16,118.24,2293711,0.49,55.9,-1.36
2024-08-19,121.23,542684,0.65,67.8,2.53
2024-08-20,120.79,587044,0.47,38.1,-0.36
2024-08-21,118.7,692144,0.47,64.9,-1.73
2024-08-22,119.87,1793958,0.98,44.8,0.99
2024-08-23,118.73,2158446,0.9,59.9,-0.95
2024-08-26,115.89,2843719,0.47,25.5,-2.39
2024-08-27,119.72,694690,0.48,56.0,3.3
2024-08-28,115.05,2954806,0.52,74.9,-3.9
2024-08-29,115.51,3568108,0.14,58.3,0.4
2024-08-30,115.24,3436595,0.48,65.1,-0.23
2024-09-02,116.6,4010354,0.14,46.1,1.18
2024-09-03,115.09,4641938,0.4,67.6,-1.3
2024-09-04,113.12,4195013,0.0,66.1,-1.71
2024-09-05,115.69,3231179,0.22,27.8,2.27
2024-09-06,116.23,3282962,0.48,43.3,0.47
2024-09-09,112.87,2105432,1.0,46.6,-2.89
2024-09-10,113.45,4269504,0.3,46.6,0.51
2024-09-11,109.73,4714913,0.19,34.2,-3.28
2024-09-12,108.4,2714785,0.56,41.3,-1.21
2024-09-13,106.91,3175222,0.34,57.1,-1.37
2024-09-16,105.05,3212625,0.49,23.5,-1.74
2024-09-17,105.25,3771007,0.8,36.8,0.19
2024-09-18,106.82,1887472,0.0,35.9,1.49
2024-09-19,107.45,2447787,0.92,41.5,0.59
2024-09-20,104.97,1983140,0.44,79.8,-2.31
2024-09-23,105.36,3483570,0.61,43.3,0.37
2024-09-24,106.41,1032657,0.23,20.3,1.0
2024-09-25,105.21,3103332,0.45,45.2,-1.13
2024-09-26,104.76,3013687,0.76,55.2,-0.43
2024-09-27,106.84,2677322,0.6,46.5,1.99
2024-09-30,103.9,1527819,0.6,59.4,-2.75
2024-10-01,105.41,2062484,0.32,30.6,1.45
2024-10-02,105.68,2494305,0.43,63.6,0.26
2024-10-03,106.52,3125715,0.27,78.7,0.79
2024-10-04,104.72,4717024,0.42,62.7,-1.69
2024-10-07,103.97,872575,0.16,22.5,-0.72
2024-10-08,104.48,4871587,0.39,56.1,0.49
2024-10-09,104.93,3989525,0.74,62.9,0.43
2024-10-10,104.93,2374220,0.49,50.9,0.0
2024-10-11,104.96,717366,0.51,30.0,0.03
2024-10-14,103.07,2119193,0.92,67.4,-1.8
2024-10-15,109.0,761444,0.56,24.1,5.75
2024-10-16,111.28,4406555,0.14,25.7,2.09
2024-10-17,107.16,959687,0.36,43.1,-3.7
2024-10-18,110.27,2976347,0.27,56.5,2.9
2024-10-21,110.45,3865273,0.38,57.5,0.16
2024-10-22,110.42,3488371,0.43,40.2,-0.03
2024-10-23,107.87,2367398,0.33,70.0,-2.31
2024-10-24,105.82,1183536,0.36,50.1,-1.9
2024-10-25,106.49,4551925,0.22,20.5,0.63
2024-10-28,108.21,1738184,0.52,55.8,1.62
2024-10-29,108.6,3567213,0.64,21.0,0.36
2024-10-30,111.34,4044727,0.31,25.0,2.52
2024-10-31,112.78,1678575,0.46,24.5,1.29
2024-11-01,113.75,1868965,0.81,77.7,0.86
2024-11-04,117.88,2724545,0.63,22.5,3.63
2024-11-05,124.36,2288429,0.75,48.7,5.5
2024-11-06,122.1,4452583,0.0,49.8,-1.82
2024-11-07,120.16,1796035,0.47,63.0,-1.59
2024-11-08,120.21,3850632,0.53,26.4,0.04
2024-11-11,118.6,2020964,0.0,74.3,-1.34
2024-11-12,119.51,775355,0.1,59.0,0.77
2024-11-13,125.76,3608803,0.1,76.6,5.23
2024-11-14,123.47,1282677,0.62,30.1,-1.82
2024-11-15,125.29,1032444,0.68,52.5,1.47
2024-11-18,128.08,1605280,0.28,71.8,2.23
2024-11-19,127.16,2359351,0.08,31.7,-0.72
2024-11-20,128.12,4761148,0.71,66.1,0.75
2024-11-21,123.78,999689,0.23,45.8,-3.39
2024-11-22,124.49,2886466,0.6,69.0,0.57
2024-11-25,123.27,4735368,0.72,62.1,-0.98
2024-11-26,127.48,669146,0.49,72.9,3.42
2024-11-27,126.62,3893706,0.16,71.6,-0.67
2024-11-28,128.49,758717,0.56,40.6,1.48
2024-11-29,129.64,910649,0.57,70.6,0.9
2024-12-02,129.77,1527177,0.47,44.3,0.1
2024-12-03,129.67,611812,0.62,35.2,-0.08
2024-12-04,129.66,856525,0.05,72.6,-0.01
2024-12-05,128.65,4690639,0.13,74.4,-0.78
2024-12-06,128.54,2480431,0.95,36.4,-0.09
2024-12-09,126.95,3456119,0.42,21.8,-1.24
2024-12-10,124.52,3288517,0.69,69.7,-1.91
