Employee_ID,Age,Department,Job_Role,Education_Level,Monthly_Salary_USD,Years_At_Company,Work_Life_Balance_Score,Job_Satisfaction_1to5,Performance_Rating_1to5,OverTime,Attrition
EMP-40116,27,Engineering,Analyst,High School,9868.27,4,1,3,2,No,0
EMP-40117,33,Finance,Specialist,PhD,12685.55,10,1,2,5,Yes,0
EMP-40118,25,Sales,Director,Masters,7327.57,2,4,2,5,No,0
EMP-40119,36,Engineering,Director,Bachelors,14871.58,12,1,5,2,No,0
EMP-40120,59,HR,Developer,PhD,17440.22,15,3,3,4,Yes,0
EMP-40121,56,Engineering,Developer,Masters,21788.1,20,3,2,5,No,0
EMP-40122,62,Operations,Executive,Masters,18157.13,14,1,1,5,No,0
EMP-40123,49,HR,Executive,Bachelors,12701.15,10,3,1,5,No,0
EMP-40124,46,Engineering,Specialist,High School,25286.62,22,2,1,5,No,0
EMP-40125,57,Operations,Analyst,PhD,22579.68,18,2,3,2,Yes,0
EMP-40126,53,Marketing,Executive,PhD,23677.74,23,1,1,3,Yes,0
EMP-40127,26,Marketing,Executive,High School,7422.03,1,4,3,5,Yes,0
EMP-40128,41,Marketing,Director,High School,17366.79,14,3,5,4,No,0
EMP-40129,33,Operations,Developer,Bachelors,11886.85,2,1,2,5,Yes,0
EMP-40130,61,HR,Manager,High School,23975.94,25,1,5,4,No,0
EMP-40131,32,Sales,Manager,Masters,14717.38,10,3,3,4,Yes,0
EMP-40132,56,HR,Developer,Masters,19599.76,17,3,3,5,No,0
EMP-40133,28,Marketing,Analyst,Bachelors,9142.63,4,3,3,3,Yes,0
EMP-40134,52,Sales,Executive,Masters,21750.7,20,3,2,4,Yes,0
EMP-40135,36,Engineering,Manager,PhD,10523.68,5,1,2,4,No,0
EMP-40136,58,Finance,Analyst,High School,9648.36,6,2,3,2,Yes,0
EMP-40137,42,HR,Director,Bachelors,13943.69,10,2,5,4,Yes,0
EMP-40138,56,Engineering,Specialist,Masters,15924.84,12,2,5,3,No,0
EMP-40139,23,HR,Manager,PhD,7087.02,3,4,2,5,Yes,1
EMP-40140,44,Sales,Director,Masters,18326.06,14,1,4,5,No,0
EMP-40141,27,Sales,Manager,High School,12092.67,6,1,2,4,No,0
EMP-40142,40,Finance,Specialist,High School,15430.94,11,4,2,5,Yes,0
EMP-40143,59,Sales,Specialist,Bachelors,17175.01,17,1,3,3,No,0
EMP-40144,59,Sales,Developer,Masters,26440.34,23,2,5,5,No,0
EMP-40145,45,HR,Director,High School,28621.09,25,4,3,4,No,0
EMP-40146,42,Finance,Manager,Masters,14368.09,5,2,3,5,No,0
EMP-40147,30,Sales,Director,High School,8392.81,2,2,5,2,No,0
EMP-40148,46,Engineering,Director,High School,19878.84,19,3,3,2,Yes,0
EMP-40149,55,Engineering,Director,Masters,21301.73,20,2,1,5,Yes,0
EMP-40150,46,Engineering,Director,Masters,16970.98,16,1,1,3,No,0
EMP-40151,22,Sales,Executive,PhD,7999.73,2,2,3,2,No,0
EMP-40152,41,Engineering,Manager,PhD,9496.19,6,1,5,5,No,0
EMP-40153,27,Finance,Developer,High School,6749.83,1,3,5,3,No,0
EMP-40154,47,Engineering,Specialist,Bachelors,17611.67,17,3,3,4,Yes,0
EMP-40155,30,HR,Manager,Masters,8668.15,7,4,4,5,Yes,0
EMP-40156,36,HR,Developer,Bachelors,8444.3,2,3,2,2,No,0
EMP-40157,58,Operations,Analyst,High School,19063.28,17,3,2,2,No,0
EMP-40158,24,Engineering,Executive,High School,6929.4,3,2,1,2,Yes,0
EMP-40159,61,Marketing,Analyst,High School,7771.1,1,2,1,3,No,0
EMP-40160,26,Sales,Developer,High School,6460.9,1,2,4,4,No,0
EMP-40161,27,Sales,Executive,Masters,9482.39,1,4,2,2,No,0
EMP-40162,44,Engineering,Specialist,Masters,19557.16,13,1,1,4,Yes,0
EMP-40163,23,Operations,Developer,High School,10572.99,3,2,3,2,Yes,0
EMP-40164,32,Engineering,Executive,Bachelors,8453.83,2,1,2,2,No,0
EMP-40165,57,Finance,Developer,PhD,8898.47,1,1,3,5,No,0
EMP-40166,37,HR,Developer,High School,20387.05,16,1,3,4,Yes,0
EMP-40167,57,Engineering,Director,Masters,26262.56,23,3,2,3,No,0
EMP-40168,29,Operations,Director,Masters,14837.9,7,1,3,4,No,0
EMP-40169,37,Engineering,Analyst,Bachelors,18291.75,11,1,2,3,No,1
EMP-40170,47,Sales,Developer,Masters,16189.49,10,1,2,4,No,0
EMP-40171,48,Engineering,Manager,Bachelors,12637.46,8,4,2,4,No,0
EMP-40172,60,Engineering,Analyst,Bachelors,27564.96,23,3,1,5,Yes,0
EMP-40173,45,Engineering,Director,PhD,17895.66,14,2,1,4,No,1
EMP-40174,23,Engineering,Analyst,PhD,5854.72,2,3,4,4,No,0
EMP-40175,54,Engineering,Director,Bachelors,10346.39,5,2,2,2,Yes,0
EMP-40176,28,Marketing,Executive,Bachelors,11993.54,7,1,4,4,Yes,0
EMP-40177,29,Finance,Director,Masters,9215.11,7,4,4,4,No,0
EMP-40178,28,Finance,Director,Masters,7389.3,3,3,2,5,No,0
EMP-40179,62,Sales,Director,High School,8396.71,6,1,2,2,Yes,0
EMP-40180,57,Operations,Developer,Bachelors,11230.72,8,2,3,5,No,0
EMP-40181,38,Engineering,Manager,High School,11200.74,4,4,3,4,Yes,0
EMP-40182,45,Sales,Analyst,Bachelors,21364.8,18,1,4,4,No,0
EMP-40183,42,Sales,Analyst,Masters,18383.59,15,2,5,4,Yes,0
EMP-40184,24,Operations,Executive,Bachelors,8064.38,2,1,3,5,No,0
EMP-40185,31,HR,Specialist,Bachelors,13411.21,8,3,1,5,Yes,0
EMP-40186,32,Engineering,Manager,PhD,12144.55,6,1,2,4,No,0
EMP-40187,33,Operations,Executive,Bachelors,13949.53,10,3,3,2,No,0
EMP-40188,24,Engineering,Manager,High School,6177.22,1,2,5,2,No,0
EMP-40189,35,HR,Executive,High School,16025.22,10,1,1,3,No,0
EMP-40190,44,Sales,Developer,Masters,8803.69,2,3,4,4,No,0
EMP-40191,52,Sales,Specialist,PhD,13384.36,13,2,3,2,No,0
EMP-40192,25,Marketing,Developer,PhD,8873.44,2,2,3,5,No,0
EMP-40193,59,Finance,Executive,High School,6993.06,4,1,2,4,No,0
EMP-40194,28,Engineering,Executive,Masters,10964.37,6,2,2,5,No,0
EMP-40195,56,HR,Developer,Bachelors,25744.32,25,3,2,3,No,0
EMP-40196,24,Finance,Analyst,Masters,9008.88,1,1,5,3,No,0
EMP-40197,55,Engineering,Developer,High School,22982.45,21,4,4,5,No,0
EMP-40198,26,Sales,Director,Bachelors,11538.41,6,4,1,5,Yes,0
EMP-40199,53,Engineering,Analyst,PhD,24926.14,23,3,1,5,No,0
EMP-40200,29,Finance,Manager,High School,10230.18,7,3,2,2,No,0
EMP-40201,42,Marketing,Analyst,High School,19646.66,16,4,5,4,No,0
EMP-40202,32,Sales,Manager,High School,10576.53,4,2,3,3,No,0
EMP-40203,62,Marketing,Executive,Bachelors,16762.45,11,4,4,4,No,0
EMP-40204,38,Engineering,Manager,PhD,13721.74,7,2,2,5,No,0
EMP-40205,27,Marketing,Director,High School,7515.83,1,3,1,2,No,1
EMP-40206,39,Engineering,Manager,High School,10638.7,8,2,4,3,No,0
EMP-40207,26,Sales,Analyst,Masters,9771.78,3,1,2,4,No,0
EMP-40208,29,HR,Director,Masters,12610.84,7,3,4,5,No,0
EMP-40209,50,Engineering,Specialist,High School,27006.59,25,2,3,4,Yes,0
EMP-40210,42,Finance,Specialist,PhD,22220.74,15,1,1,5,No,0
EMP-40211,33,Sales,Manager,High School,12692.46,11,1,1,4,Yes,0
EMP-40212,29,Engineering,Director,PhD,7983.48,8,1,4,4,No,1
EMP-40213,55,Operations,Director,PhD,8680.45,3,1,2,4,Yes,0
EMP-40214,33,Sales,Manager,High School,6954.58,2,4,1,5,Yes,0
EMP-40215,34,Engineering,Executive,Masters,16338.79,12,1,5,2,Yes,0
EMP-40216,31,Sales,Manager,Bachelors,9342.83,5,1,5,3,Yes,0
EMP-40217,27,Sales,Specialist,High School,10739.65,3,2,4,3,No,0
EMP-40218,57,HR,Manager,Masters,24913.26,24,2,4,2,No,0
EMP-40219,35,Marketing,Manager,PhD,16224.28,12,2,1,3,Yes,0
EMP-40220,26,Sales,Director,Masters,7517.48,2,4,5,5,No,0
EMP-40221,53,Engineering,Developer,High School,11286.61,6,4,3,2,Yes,0
EMP-40222,37,Sales,Specialist,High School,9727.93,3,2,4,3,No,0
EMP-40223,62,Sales,Developer,Masters,12891.0,6,4,5,2,Yes,0
EMP-40224,37,Sales,Manager,High School,19953.6,17,2,1,5,Yes,0
EMP-40225,54,Sales,Director,Bachelors,14190.42,11,4,2,3,No,0
EMP-40226,46,Sales,Developer,Bachelors,22784.84,22,1,1,4,No,0
EMP-40227,31,Sales,Developer,PhD,9819.41,5,4,1,3,Yes,0
EMP-40228,48,Engineering,Executive,High School,12977.62,10,2,4,5,No,0
EMP-40229,36,HR,Manager,High School,18463.73,15,4,1,5,No,0
EMP-40230,43,Marketing,Director,Masters,14917.38,14,1,4,4,No,0
EMP-40231,48,Sales,Analyst,Masters,16651.9,14,4,2,3,No,0
EMP-40232,45,Sales,Developer,PhD,16407.14,12,4,4,4,No,0
EMP-40233,39,Operations,Executive,Masters,19392.45,14,1,5,3,No,0
EMP-40234,58,Finance,Manager,High School,7862.67,2,3,1,3,No,0
EMP-40235,53,Marketing,Manager,Bachelors,20462.63,16,2,5,4,No,0
EMP-40236,56,Finance,Specialist,Bachelors,26795.4,24,4,2,3,No,1
EMP-40237,54,Operations,Director,Bachelors,14523.18,10,2,4,4,Yes,0
EMP-40238,61,Finance,Executive,Bachelors,19944.69,17,1,1,5,No,0
EMP-40239,59,Sales,Developer,High School,24394.78,24,2,5,3,No,0
EMP-40240,61,Engineering,Manager,High School,15292.0,12,1,1,5,No,0
EMP-40241,42,Sales,Executive,High School,11600.99,7,2,5,2,No,0
EMP-40242,53,Marketing,Developer,PhD,19830.24,13,3,4,3,No,0
EMP-40243,40,Engineering,Executive,High School,8445.68,1,1,4,5,No,0
EMP-40244,26,Marketing,Manager,Bachelors,9477.59,4,2,3,4,No,0
EMP-40245,51,Marketing,Developer,Bachelors,14712.93,10,2,2,5,No,0
EMP-40246,43,Sales,Analyst,PhD,17225.19,13,2,3,3,No,0
EMP-40247,37,Finance,Executive,Masters,13058.39,10,4,5,5,No,0
EMP-40248,29,Sales,Analyst,Bachelors,12168.02,5,2,4,3,No,0
EMP-40249,38,Engineering,Manager,High School,11044.61,4,2,4,2,No,0
EMP-40250,60,Engineering,Developer,PhD,15265.27,10,2,1,3,Yes,0
EMP-40251,42,Engineering,Specialist,Bachelors,11569.53,2,4,2,4,No,0
EMP-40252,57,Sales,Manager,Bachelors,14635.16,13,3,4,3,No,0
EMP-40253,45,Engineering,Developer,PhD,6939.93,4,2,4,5,No,0
EMP-40254,53,Marketing,Executive,Masters,28255.18,24,3,5,5,No,0
EMP-40255,59,Sales,Analyst,PhD,29174.13,25,4,5,2,No,0
EMP-40256,60,Engineering,Analyst,Bachelors,9260.17,6,3,3,3,No,0
EMP-40257,30,Sales,Executive,High School,11602.23,7,3,1,3,No,0
EMP-40258,39,HR,Executive,High School,18527.05,17,1,5,5,No,0
EMP-40259,27,Operations,Analyst,Bachelors,9290.39,5,2,3,2,No,0
EMP-40260,40,Marketing,Director,PhD,14420.71,10,4,1,5,Yes,0
EMP-40261,43,Marketing,Specialist,High School,10110.26,3,1,5,4,Yes,0
EMP-40262,32,Sales,Analyst,Bachelors,12630.95,8,2,5,2,No,0
EMP-40263,22,Engineering,Executive,Masters,7894.83,1,2,3,5,No,0
EMP-40264,29,Marketing,Developer,PhD,12038.08,9,4,3,2,Yes,0
EMP-40265,61,Engineering,Executive,Masters,15354.24,11,4,4,5,No,0
EMP-40266,47,HR,Developer,High School,24696.88,25,2,4,5,No,0
EMP-40267,55,Sales,Specialist,Masters,13100.36,8,4,2,2,Yes,0
EMP-40268,31,Marketing,Specialist,Masters,9675.02,5,4,3,2,No,0
EMP-40269,45,HR,Analyst,High School,16598.85,15,1,3,3,No,0
EMP-40270,37,HR,Executive,PhD,15074.26,10,4,4,3,Yes,0
EMP-40271,24,HR,Director,Masters,8535.04,2,3,5,3,No,0
EMP-40272,59,Engineering,Developer,PhD,13732.2,8,3,3,5,No,0
EMP-40273,60,Engineering,Developer,Masters,11074.41,7,2,1,4,Yes,0
EMP-40274,39,Finance,Developer,PhD,17432.17,15,2,4,5,No,0
EMP-40275,27,Marketing,Manager,High School,11730.51,4,2,2,3,Yes,0
EMP-40276,61,Engineering,Manager,Bachelors,7804.86,3,3,4,5,No,0
EMP-40277,33,Finance,Director,PhD,6933.4,1,4,3,2,Yes,0
EMP-40278,41,Engineering,Director,High School,11850.03,8,3,2,3,Yes,0
EMP-40279,45,Marketing,Analyst,PhD,15835.72,14,1,2,2,Yes,0
EMP-40280,39,Marketing,Specialist,High School,10129.1,6,1,1,3,No,0
EMP-40281,60,Engineering,Analyst,Masters,15801.52,11,2,3,4,No,0
EMP-40282,49,Engineering,Executive,High School,24636.29,24,1,2,4,No,0
EMP-40283,43,HR,Manager,PhD,6701.3,2,4,3,2,No,0
EMP-40284,23,Sales,Executive,Masters,8734.38,3,3,3,5,No,0
EMP-40285,25,Sales,Developer,High School,9822.14,1,1,5,4,No,0
EMP-40286,62,Sales,Analyst,Masters,7447.14,1,3,4,4,Yes,0
EMP-40287,38,Engineering,Manager,Bachelors,16597.99,11,3,1,2,No,0
EMP-40288,35,Engineering,Analyst,Bachelors,11860.01,8,3,2,2,No,0
EMP-40289,39,Marketing,Director,Masters,10886.72,6,2,4,3,Yes,0
EMP-40290,45,HR,Analyst,PhD,28470.27,24,3,5,5,No,0
EMP-40291,50,Sales,Manager,Masters,22372.72,20,2,5,4,Yes,0
EMP-40292,44,Engineering,Executive,PhD,16734.47,15,2,5,2,No,0
EMP-40293,52,Engineering,Executive,Masters,21963.58,20,4,5,3,Yes,0
EMP-40294,57,Marketing,Specialist,PhD,21463.26,21,3,4,2,No,0
EMP-40295,43,Finance,Manager,PhD,21779.44,22,4,4,2,No,0
EMP-40296,50,Engineering,Executive,High School,13333.56,12,1,5,2,No,0
EMP-40297,43,Finance,Director,Masters,7743.33,2,3,4,2,No,0
EMP-40298,35,Sales,Director,High School,17587.24,14,4,4,3,No,0
EMP-40299,41,Marketing,Analyst,PhD,9147.53,1,4,2,2,No,0
EMP-40300,56,Marketing,Director,Bachelors,10172.18,4,2,4,5,No,0
EMP-40301,26,Marketing,Executive,PhD,8313.44,2,4,1,5,No,0
EMP-40302,52,Engineering,Developer,High School,23659.79,23,4,3,5,No,0
EMP-40303,23,Sales,Developer,Masters,6686.23,1,1,1,5,Yes,0
EMP-40304,36,Engineering,Analyst,Masters,11575.28,2,3,1,5,No,0
EMP-40305,39,Engineering,Developer,High School,8661.21,1,3,2,3,Yes,0
EMP-40306,35,Engineering,Analyst,High School,17411.86,14,4,1,2,No,0
EMP-40307,25,Sales,Director,Masters,5345.03,4,4,5,3,Yes,0
EMP-40308,29,Engineering,Specialist,Masters,6143.58,1,1,1,2,No,0
EMP-40309,47,Engineering,Director,High School,25672.51,24,3,5,4,No,0
EMP-40310,59,Engineering,Manager,Masters,14801.44,13,3,5,4,No,0
EMP-40311,27,HR,Developer,Masters,9108.93,6,4,5,4,No,0
EMP-40312,42,Engineering,Developer,Bachelors,14081.68,10,3,2,2,Yes,0
EMP-40313,33,Engineering,Specialist,Bachelors,8253.23,1,1,2,5,No,0
EMP-40314,43,Engineering,Analyst,Masters,25158.55,23,3,1,5,Yes,0
EMP-40315,27,Engineering,Manager,Masters,5720.22,1,2,3,3,Yes,0
EMP-40316,33,Operations,Manager,Masters,4156.16,1,3,5,2,No,0
EMP-40317,49,Finance,Developer,Bachelors,10406.25,6,3,5,2,No,0
EMP-40318,36,Engineering,Analyst,High School,19780.94,16,4,1,5,No,1
EMP-40319,55,Finance,Director,High School,18192.38,14,4,2,4,Yes,0
EMP-40320,48,Sales,Director,High School,11176.56,4,1,4,5,No,0
EMP-40321,48,Operations,Analyst,Bachelors,15225.56,10,4,2,4,No,0
EMP-40322,49,Sales,Analyst,Masters,19270.1,21,3,2,4,No,0
EMP-40323,56,Sales,Executive,High School,25757.99,23,4,2,4,Yes,0
EMP-40324,46,Engineering,Director,Masters,22820.01,22,1,1,4,No,0
EMP-40325,61,Sales,Director,Bachelors,22319.18,22,4,1,4,No,0
EMP-40326,61,Marketing,Specialist,Masters,10859.17,5,4,4,3,No,0
EMP-40327,26,Marketing,Analyst,PhD,13445.14,6,2,2,4,Yes,0
EMP-40328,59,Marketing,Developer,High School,8864.04,6,1,3,5,No,0
EMP-40329,34,Engineering,Executive,Bachelors,10549.9,6,1,5,3,Yes,0
EMP-40330,58,Engineering,Manager,PhD,15430.9,14,4,4,3,Yes,0
EMP-40331,38,Engineering,Specialist,High School,16504.73,13,2,1,5,No,0
EMP-40332,61,Sales,Specialist,PhD,9697.11,5,4,5,3,No,0
EMP-40333,23,Marketing,Director,Masters,8295.55,3,3,1,5,No,0
EMP-40334,59,Engineering,Analyst,PhD,12843.13,9,2,4,5,No,0
EMP-40335,33,Engineering,Developer,Masters,15157.58,11,4,4,5,Yes,1
EMP-40336,28,Marketing,Director,PhD,11976.07,5,3,2,3,No,0
EMP-40337,47,Sales,Analyst,Bachelors,16888.86,14,2,1,5,No,0
EMP-40338,37,Sales,Director,Masters,13490.97,10,1,3,2,No,0
EMP-40339,50,Engineering,Analyst,Bachelors,21199.83,16,4,4,4,No,0
EMP-40340,29,Engineering,Director,Masters,8794.14,2,4,5,3,Yes,0
EMP-40341,56,Engineering,Manager,PhD,17546.72,12,2,3,2,No,1
EMP-40342,34,Finance,Manager,PhD,5779.35,2,3,3,5,Yes,0
EMP-40343,28,Marketing,Executive,Bachelors,7487.0,1,1,3,5,No,0
EMP-40344,27,Marketing,Executive,Masters,11658.35,7,1,1,3,No,0
EMP-40345,50,Operations,Director,Bachelors,16349.73,11,4,5,4,Yes,0
EMP-40346,22,HR,Developer,High School,7838.65,2,3,1,2,No,1
EMP-40347,56,Sales,Manager,Masters,23631.0,19,1,4,4,No,0
EMP-40348,46,Engineering,Director,PhD,9192.42,2,4,4,4,No,0
EMP-40349,62,Engineering,Specialist,Masters,21697.79,17,1,2,3,No,0
EMP-40350,48,Engineering,Specialist,Bachelors,5953.1,1,1,1,2,Yes,0
