Transaction_ID,Date,Customer_ID,Age,Gender,Category,Price_USD,Quantity,Total_Spend_USD,Discount_Pct,Payment_Method,Rating,Is_Repeat_Customer
TXN-10022,2025-01-02 08:00:00,CUST-2188,,Female,Home & Kitchen,23.95,5,119.75,0,Credit Card,4.8,1
TXN-10023,2025-01-02 09:00:00,CUST-5002,28,Male,Fashion,45.62,5,228.1,0,Debit Card,3.3,0
TXN-10024,2025-01-02 10:00:00,CUST-2891,65,Female,Electronics,93.92,3,281.76,0,UPI/NetBanking,2.8,1
TXN-10025,2025-01-02 11:00:00,CUST-1832,45,Female,Electronics,49.49,2,98.98,10,Credit Card,3.5,0
TXN-10026,2025-01-02 12:00:00,CUST-2232,62,Female,Fashion,167.95,5,839.75,10,UPI/NetBanking,4.0,0
TXN-10027,2025-01-02 13:00:00,CUST-1653,31,Female,Home & Kitchen,52.1,5,260.5,20,UPI/NetBanking,5.0,1
TXN-10028,2025-01-02 14:00:00,CUST-3900,19,Male,Sports,144.63,4,578.52,15,Debit Card,5.0,0
TXN-10029,2025-01-02 15:00:00,CUST-2771,20,Female,Electronics,159.16,4,636.64,5,Debit Card,4.4,0
TXN-10030,2025-01-02 16:00:00,CUST-5564,67,Male,Home & Kitchen,58.37,5,291.85,5,Credit Card,5.0,0
TXN-10031,2025-01-02 17:00:00,CUST-5349,56,Male,Home & Kitchen,46.99,5,234.95,25,Credit Card,4.3,1
TXN-10032,2025-01-02 18:00:00,CUST-9518,52,Female,Sports,128.54,2,257.08,5,Credit Card,4.4,0
TXN-10033,2025-01-02 19:00:00,CUST-6143,25,Female,Fashion,46.45,4,185.8,5,PayPal,4.6,0
TXN-10034,2025-01-02 20:00:00,CUST-3851,37,Male,Beauty,45.79,2,91.58,5,UPI/NetBanking,5.0,1
TXN-10035,2025-01-02 21:00:00,CUST-8244,50,Male,Sports,150.13,2,300.26,10,Credit Card,4.0,1
TXN-10036,2025-01-02 22:00:00,CUST-4848,32,Female,Electronics,19.02,4,76.08,10,PayPal,4.0,1
TXN-10037,2025-01-02 23:00:00,CUST-4185,42,Female,Electronics,105.72,1,105.72,20,Debit Card,4.3,1
TXN-10038,2025-01-03 00:00:00,CUST-9486,53,Male,Beauty,66.82,4,267.28,10,COD,3.7,1
TXN-10039,2025-01-03 01:00:00,CUST-8251,64,Female,Fashion,216.76,4,867.04,20,PayPal,4.2,1
TXN-10040,2025-01-03 02:00:00,CUST-9540,33,Male,Electronics,43.6,3,130.8,5,Debit Card,4.7,0
TXN-10041,2025-01-03 03:00:00,CUST-7275,63,Male,Fashion,49.15,4,196.6,5,Credit Card,5.0,1
TXN-10042,2025-01-03 04:00:00,CUST-7232,40,Male,Fashion,203.9,4,815.6,10,PayPal,3.7,1
TXN-10043,2025-01-03 05:00:00,CUST-8999,45,Female,Fashion,108.95,4,435.8,15,Debit Card,5.0,1
TXN-10044,2025-01-03 06:00:00,CUST-1444,45,Male,Fashion,19.39,4,77.56,5,UPI/NetBanking,4.1,1
TXN-10045,2025-01-03 07:00:00,CUST-5558,44,Male,Electronics,16.66,5,83.3,0,COD,5.0,0
TXN-10046,2025-01-03 08:00:00,CUST-1508,30,Female,Home & Kitchen,38.16,4,152.64,10,UPI/NetBanking,4.9,1
TXN-10047,2025-01-03 09:00:00,CUST-7043,56,Non-Binary,Home & Kitchen,142.85,2,285.7,25,Credit Card,,0
TXN-10048,2025-01-03 10:00:00,CUST-7149,63,Male,Home & Kitchen,165.9,2,331.8,0,PayPal,3.9,1
TXN-10049,2025-01-03 11:00:00,CUST-1672,45,Female,Electronics,103.64,1,103.64,15,Debit Card,4.0,1
TXN-10050,2025-01-03 12:00:00,CUST-8532,45,Male,Fashion,104.35,5,521.75,15,UPI/NetBanking,3.2,0
TXN-10051,2025-01-03 13:00:00,CUST-5022,23,Male,Fashion,133.0,5,665.0,10,UPI/NetBanking,,1
TXN-10052,2025-01-03 14:00:00,CUST-3979,40,Female,Fashion,195.45,3,586.35,10,UPI/NetBanking,4.6,0
TXN-10053,2025-01-03 15:00:00,CUST-7658,66,Male,Fashion,120.76,4,483.04,15,Credit Card,4.0,1
TXN-10054,2025-01-03 16:00:00,CUST-8753,40,Male,Home & Kitchen,49.14,4,196.56,0,Credit Card,3.6,0
TXN-10055,2025-01-03 17:00:00,CUST-2958,66,Female,Electronics,129.05,3,387.15,15,COD,4.1,0
TXN-10056,2025-01-03 18:00:00,CUST-4727,37,Male,Fashion,42.25,1,42.25,10,PayPal,4.5,1
TXN-10057,2025-01-03 19:00:00,CUST-9042,18,Female,Fashion,64.36,2,128.72,25,Credit Card,4.4,1
TXN-10058,2025-01-03 20:00:00,CUST-1878,69,Female,Fashion,448.71,1,448.71,10,UPI/NetBanking,4.4,1
TXN-10059,2025-01-03 21:00:00,CUST-9561,46,Male,Home & Kitchen,62.61,5,313.05,10,UPI/NetBanking,4.7,0
TXN-10060,2025-01-03 22:00:00,CUST-2330,29,Female,Electronics,59.64,5,298.2,5,Credit Card,4.0,0
TXN-10061,2025-01-03 23:00:00,CUST-8438,32,Female,Beauty,98.38,2,196.76,5,UPI/NetBanking,5.0,0
TXN-10062,2025-01-04 00:00:00,CUST-3718,56,Female,Home & Kitchen,43.95,1,43.95,5,Credit Card,3.5,0
TXN-10063,2025-01-04 01:00:00,CUST-9847,23,Female,Beauty,127.73,5,638.65,0,Credit Card,4.7,1
TXN-10064,2025-01-04 02:00:00,CUST-5415,66,Female,Fashion,104.6,3,313.8,0,UPI/NetBanking,3.4,1
TXN-10065,2025-01-04 03:00:00,CUST-2494,44,Male,Home & Kitchen,180.75,3,542.25,5,UPI/NetBanking,3.2,0
TXN-10066,2025-01-04 04:00:00,CUST-2442,38,Male,Beauty,185.15,1,185.15,10,UPI/NetBanking,4.9,0
TXN-10067,2025-01-04 05:00:00,CUST-6927,49,Female,Beauty,34.35,5,171.75,0,Credit Card,4.0,1
TXN-10068,2025-01-04 06:00:00,CUST-4920,37,Female,Home & Kitchen,23.32,1,23.32,5,Credit Card,4.2,1
TXN-10069,2025-01-04 07:00:00,CUST-5781,35,Male,Fashion,69.32,4,277.28,10,UPI/NetBanking,2.8,1
TXN-10070,2025-01-04 08:00:00,CUST-5526,44,Male,Beauty,41.42,1,41.42,0,Credit Card,4.1,1
TXN-10071,2025-01-04 09:00:00,CUST-9022,46,Female,Fashion,83.24,5,416.2,5,COD,4.7,0
TXN-10072,2025-01-04 10:00:00,CUST-7730,65,Male,Sports,55.8,2,111.6,5,Credit Card,4.1,1
TXN-10073,2025-01-04 11:00:00,CUST-2644,46,Male,Sports,16.31,2,32.62,5,PayPal,2.4,0
TXN-10074,2025-01-04 12:00:00,CUST-7512,39,Female,Beauty,55.63,3,166.89,10,Debit Card,4.6,1
TXN-10075,2025-01-04 13:00:00,CUST-2121,61,Female,Sports,131.74,4,526.96,25,PayPal,4.5,0
TXN-10076,2025-01-04 14:00:00,CUST-1474,68,Male,Fashion,62.88,2,125.76,10,UPI/NetBanking,4.4,0
TXN-10077,2025-01-04 15:00:00,CUST-2293,42,Female,Electronics,222.39,2,444.78,0,UPI/NetBanking,3.5,1
TXN-10078,2025-01-04 16:00:00,CUST-5712,28,Male,Sports,388.51,3,1165.53,10,UPI/NetBanking,2.9,1
TXN-10079,2025-01-04 17:00:00,CUST-4263,48,Male,Fashion,52.8,3,158.4,25,Credit Card,3.9,1
TXN-10080,2025-01-04 18:00:00,CUST-1803,65,Female,Sports,43.66,2,87.32,10,UPI/NetBanking,3.7,1
TXN-10081,2025-01-04 19:00:00,CUST-3240,58,Female,Fashion,64.41,5,322.05,5,Credit Card,3.9,0
TXN-10082,2025-01-04 20:00:00,CUST-9837,41,Female,Sports,165.85,3,497.55,20,COD,4.8,0
TXN-10083,2025-01-04 21:00:00,CUST-6549,47,Non-Binary,Electronics,303.68,4,1214.72,25,Debit Card,4.2,1
TXN-10084,2025-01-04 22:00:00,CUST-8451,65,Female,Home & Kitchen,161.91,3,485.73,0,Credit Card,,1
TXN-10085,2025-01-04 23:00:00,CUST-6374,32,Female,Home & Kitchen,68.05,3,204.15,10,Credit Card,4.1,0
TXN-10086,2025-01-05 00:00:00,CUST-9071,33,Female,Electronics,66.38,5,331.9,5,PayPal,3.9,1
TXN-10087,2025-01-05 01:00:00,CUST-7686,35,Male,Fashion,64.8,2,129.6,20,Credit Card,4.4,1
TXN-10088,2025-01-05 02:00:00,CUST-6876,35,Male,Electronics,175.15,4,700.6,0,Credit Card,4.4,0
TXN-10089,2025-01-05 03:00:00,CUST-3063,31,Male,Beauty,34.73,2,69.46,15,Credit Card,4.2,1
TXN-10090,2025-01-05 04:00:00,CUST-1046,27,Non-Binary,Fashion,151.17,1,151.17,10,Credit Card,,1
TXN-10091,2025-01-05 05:00:00,CUST-4898,19,Male,Electronics,130.06,5,650.3,0,Credit Card,3.6,1
TXN-10092,2025-01-05 06:00:00,CUST-4629,20,Female,Sports,106.43,3,319.29,5,COD,4.9,1
TXN-10093,2025-01-05 07:00:00,CUST-7580,24,Female,Sports,21.49,1,21.49,5,Credit Card,3.5,1
TXN-10094,2025-01-05 08:00:00,CUST-7240,51,Male,Fashion,62.81,1,62.81,20,PayPal,3.5,1
TXN-10095,2025-01-05 09:00:00,CUST-4522,32,Male,Beauty,58.24,1,58.24,5,Credit Card,5.0,1
TXN-10096,2025-01-05 10:00:00,CUST-2494,23,Male,Home & Kitchen,54.63,2,109.26,10,UPI/NetBanking,3.9,0
TXN-10097,2025-01-05 11:00:00,CUST-3002,60,Female,Fashion,225.38,1,225.38,25,UPI/NetBanking,3.8,1
TXN-10098,2025-01-05 12:00:00,CUST-4674,40,Female,Fashion,137.23,5,686.15,0,UPI/NetBanking,4.0,1
TXN-10099,2025-01-05 13:00:00,CUST-1430,60,Female,Electronics,31.91,3,95.73,20,UPI/NetBanking,4.8,0
TXN-10100,2025-01-05 14:00:00,CUST-1502,51,Male,Fashion,50.43,3,151.29,5,Credit Card,5.0,1
TXN-10101,2025-01-05 15:00:00,CUST-1861,66,Female,Home & Kitchen,42.0,4,168.0,5,UPI/NetBanking,4.2,1
TXN-10102,2025-01-05 16:00:00,CUST-5640,55,Female,Home & Kitchen,18.95,4,75.8,25,Credit Card,3.9,1
TXN-10103,2025-01-05 17:00:00,CUST-3248,36,Male,Electronics,131.83,2,263.66,0,UPI/NetBanking,3.2,0
TXN-10104,2025-01-05 18:00:00,CUST-7505,20,Male,Fashion,21.89,3,65.67,10,UPI/NetBanking,3.8,1
TXN-10105,2025-01-05 19:00:00,CUST-2887,38,Male,Sports,67.39,3,202.17,0,Debit Card,3.5,0
TXN-10106,2025-01-05 20:00:00,CUST-6083,32,Male,Electronics,75.72,1,75.72,10,Credit Card,3.7,0
TXN-10107,2025-01-05 21:00:00,CUST-3419,27,Male,Electronics,29.1,1,29.1,0,PayPal,4.2,1
TXN-10108,2025-01-05 22:00:00,CUST-6295,58,Male,Fashion,68.79,3,206.37,15,UPI/NetBanking,3.0,0
TXN-10109,2025-01-05 23:00:00,CUST-8565,21,Male,Electronics,102.95,1,102.95,10,UPI/NetBanking,3.0,1
TXN-10110,2025-01-06 00:00:00,CUST-8368,54,Female,Fashion,69.87,2,139.74,25,UPI/NetBanking,3.8,1
TXN-10111,2025-01-06 01:00:00,CUST-2381,29,Male,Home & Kitchen,415.26,5,2076.3,10,Credit Card,4.1,0
TXN-10112,2025-01-06 02:00:00,CUST-1857,59,Male,Fashion,84.39,4,337.56,0,PayPal,4.9,1
TXN-10113,2025-01-06 03:00:00,CUST-3463,55,Female,Sports,46.57,4,186.28,0,PayPal,3.3,0
TXN-10114,2025-01-06 04:00:00,CUST-3093,65,Non-Binary,Sports,23.34,4,93.36,10,Credit Card,3.8,1
TXN-10115,2025-01-06 05:00:00,CUST-6598,49,Male,Sports,29.31,3,87.93,15,Credit Card,4.9,0
TXN-10116,2025-01-06 06:00:00,CUST-6517,57,Male,Fashion,30.05,5,150.25,15,Credit Card,3.0,1
TXN-10117,2025-01-06 07:00:00,CUST-4891,57,Male,Home & Kitchen,65.65,5,328.25,0,COD,4.6,1
TXN-10118,2025-01-06 08:00:00,CUST-8218,36,Female,Fashion,61.11,2,122.22,15,Debit Card,3.9,0
TXN-10119,2025-01-06 09:00:00,CUST-8873,53,Female,Home & Kitchen,76.67,1,76.67,0,PayPal,4.5,1
TXN-10120,2025-01-06 10:00:00,CUST-4637,40,Female,Fashion,57.92,3,173.76,0,COD,4.0,0
TXN-10121,2025-01-06 11:00:00,CUST-2623,59,Male,Electronics,18.32,4,73.28,10,Credit Card,4.1,0
TXN-10122,2025-01-06 12:00:00,CUST-5193,27,Female,Home & Kitchen,78.77,1,78.77,15,Credit Card,4.2,0
TXN-10123,2025-01-06 13:00:00,CUST-8489,49,Female,Electronics,76.57,2,153.14,15,Credit Card,,0
TXN-10124,2025-01-06 14:00:00,CUST-7825,60,Male,Sports,20.96,5,104.8,10,PayPal,5.0,0
TXN-10125,2025-01-06 15:00:00,CUST-7338,34,Female,Fashion,20.95,2,41.9,15,UPI/NetBanking,4.4,1
TXN-10126,2025-01-06 16:00:00,CUST-6447,40,Female,Beauty,31.36,4,125.44,25,UPI/NetBanking,4.9,1
TXN-10127,2025-01-06 17:00:00,CUST-1605,20,Female,Beauty,47.23,3,141.69,10,COD,5.0,0
TXN-10128,2025-01-06 18:00:00,CUST-4131,67,Male,Home & Kitchen,42.13,3,126.39,5,UPI/NetBanking,4.8,0
TXN-10129,2025-01-06 19:00:00,CUST-9151,69,Female,Beauty,125.38,1,125.38,5,COD,4.0,0
TXN-10130,2025-01-06 20:00:00,CUST-2680,60,Male,Fashion,122.5,2,245.0,10,UPI/NetBanking,4.6,1
TXN-10131,2025-01-06 21:00:00,CUST-5498,68,Female,Electronics,101.26,3,303.78,10,PayPal,3.7,0
TXN-10132,2025-01-06 22:00:00,CUST-8179,22,Male,Home & Kitchen,53.22,5,266.1,0,Credit Card,3.7,0
TXN-10133,2025-01-06 23:00:00,CUST-3255,43,Male,Electronics,289.72,1,289.72,15,UPI/NetBanking,4.7,1
TXN-10134,2025-01-07 00:00:00,CUST-5288,63,Male,Sports,43.58,4,174.32,0,Credit Card,4.7,1
TXN-10135,2025-01-07 01:00:00,CUST-6236,63,Male,Fashion,203.65,2,407.3,15,COD,5.0,1
TXN-10136,2025-01-07 02:00:00,CUST-9335,30,Female,Electronics,72.91,3,218.73,10,UPI/NetBanking,3.3,0
TXN-10137,2025-01-07 03:00:00,CUST-6067,63,Female,Fashion,139.61,5,698.05,0,COD,3.9,1
TXN-10138,2025-01-07 04:00:00,CUST-9476,67,Female,Home & Kitchen,139.11,2,278.22,5,COD,4.5,0
TXN-10139,2025-01-07 05:00:00,CUST-6286,32,Male,Sports,206.51,1,206.51,0,UPI/NetBanking,4.5,0
TXN-10140,2025-01-07 06:00:00,CUST-5961,23,Female,Electronics,256.45,2,512.9,0,UPI/NetBanking,3.4,0
TXN-10141,2025-01-07 07:00:00,CUST-1464,59,Female,Electronics,35.12,5,175.6,5,UPI/NetBanking,5.0,1
TXN-10142,2025-01-07 08:00:00,CUST-5745,37,Female,Beauty,113.19,3,339.57,5,PayPal,3.5,0
TXN-10143,2025-01-07 09:00:00,CUST-3353,63,Male,Sports,51.01,4,204.04,0,UPI/NetBanking,4.6,0
TXN-10144,2025-01-07 10:00:00,CUST-8642,46,Male,Electronics,44.14,4,176.56,20,UPI/NetBanking,5.0,1
TXN-10145,2025-01-07 11:00:00,CUST-6123,28,Female,Fashion,73.71,3,221.13,5,Credit Card,3.5,1
TXN-10146,2025-01-07 12:00:00,CUST-4944,40,Male,Electronics,92.36,4,369.44,0,Credit Card,4.6,0
TXN-10147,2025-01-07 13:00:00,CUST-7606,43,Male,Home & Kitchen,53.27,3,159.81,0,UPI/NetBanking,4.6,0
TXN-10148,2025-01-07 14:00:00,CUST-2946,24,Male,Beauty,50.2,3,150.6,15,Credit Card,4.0,0
TXN-10149,2025-01-07 15:00:00,CUST-6456,51,Male,Home & Kitchen,76.6,3,229.8,20,Credit Card,4.2,1
TXN-10150,2025-01-07 16:00:00,CUST-5902,50,Female,Fashion,119.85,3,359.55,5,Credit Card,4.8,0
TXN-10151,2025-01-07 17:00:00,CUST-1436,34,Non-Binary,Beauty,142.23,5,711.15,0,Credit Card,4.7,1
TXN-10152,2025-01-07 18:00:00,CUST-7229,61,Male,Home & Kitchen,117.49,2,234.98,0,Credit Card,3.9,1
TXN-10153,2025-01-07 19:00:00,CUST-8726,65,Female,Home & Kitchen,77.15,5,385.75,5,PayPal,3.5,0
TXN-10154,2025-01-07 20:00:00,CUST-3837,52,Male,Fashion,140.66,3,421.98,10,Credit Card,3.7,1
TXN-10155,2025-01-07 21:00:00,CUST-5876,63,Male,Home & Kitchen,47.41,3,142.23,10,COD,4.0,0
TXN-10156,2025-01-07 22:00:00,CUST-9899,43,Female,Sports,153.79,3,461.37,0,COD,5.0,1
TXN-10157,2025-01-07 23:00:00,CUST-4505,52,Male,Home & Kitchen,41.94,1,41.94,10,UPI/NetBanking,3.7,1
TXN-10158,2025-01-08 00:00:00,CUST-9700,32,Male,Fashion,122.4,1,122.4,10,Credit Card,4.6,1
TXN-10159,2025-01-08 01:00:00,CUST-8793,30,Female,Electronics,43.56,1,43.56,20,Credit Card,4.1,1
TXN-10160,2025-01-08 02:00:00,CUST-1611,29,Male,Beauty,245.94,1,245.94,25,UPI/NetBanking,5.0,1
TXN-10161,2025-01-08 03:00:00,CUST-1613,,Female,Electronics,361.31,3,1083.93,5,UPI/NetBanking,3.5,1
TXN-10162,2025-01-08 04:00:00,CUST-3198,47,Male,Beauty,49.13,4,196.52,10,PayPal,,0
TXN-10163,2025-01-08 05:00:00,CUST-5833,66,Male,Home & Kitchen,101.54,4,406.16,15,UPI/NetBanking,4.0,0
TXN-10164,2025-01-08 06:00:00,CUST-6301,18,Male,Electronics,134.12,3,402.36,5,PayPal,,1
TXN-10165,2025-01-08 07:00:00,CUST-4871,25,Male,Electronics,113.48,3,340.44,10,UPI/NetBanking,3.8,0
TXN-10166,2025-01-08 08:00:00,CUST-4618,26,Male,Fashion,397.1,3,1191.3,5,UPI/NetBanking,3.2,0
TXN-10167,2025-01-08 09:00:00,CUST-5054,56,Female,Electronics,65.32,3,195.96,0,UPI/NetBanking,4.0,1
TXN-10168,2025-01-08 10:00:00,CUST-9281,52,Male,Fashion,77.45,1,77.45,10,PayPal,4.8,0
TXN-10169,2025-01-08 11:00:00,CUST-3161,47,Female,Home & Kitchen,109.95,3,329.85,15,UPI/NetBanking,3.7,1
TXN-10170,2025-01-08 12:00:00,CUST-2196,40,Female,Fashion,20.28,1,20.28,25,UPI/NetBanking,4.4,1
TXN-10171,2025-01-08 13:00:00,CUST-7887,42,Male,Sports,55.29,1,55.29,10,PayPal,4.5,1
TXN-10172,2025-01-08 14:00:00,CUST-6697,52,Male,Electronics,342.27,1,342.27,15,COD,4.1,0
TXN-10173,2025-01-08 15:00:00,CUST-4762,40,Male,Electronics,191.89,1,191.89,0,PayPal,3.5,1
TXN-10174,2025-01-08 16:00:00,CUST-1256,22,Male,Electronics,92.42,1,92.42,0,Credit Card,3.1,1
TXN-10175,2025-01-08 17:00:00,CUST-3295,36,Male,Sports,87.95,5,439.75,10,PayPal,3.9,0
TXN-10176,2025-01-08 18:00:00,CUST-3347,51,Male,Fashion,20.35,5,101.75,20,COD,3.5,1
TXN-10177,2025-01-08 19:00:00,CUST-7244,38,Female,Fashion,45.3,2,90.6,15,UPI/NetBanking,4.6,0
TXN-10178,2025-01-08 20:00:00,CUST-3365,21,Female,Sports,84.26,2,168.52,5,Credit Card,4.9,0
TXN-10179,2025-01-08 21:00:00,CUST-9775,30,Male,Fashion,93.95,1,93.95,20,Credit Card,4.6,1
TXN-10180,2025-01-08 22:00:00,CUST-4555,39,Male,Sports,35.23,2,70.46,25,Credit Card,3.7,1
TXN-10181,2025-01-08 23:00:00,CUST-4350,33,Female,Beauty,55.72,5,278.6,10,Credit Card,4.3,1
TXN-10182,2025-01-09 00:00:00,CUST-8635,64,Male,Beauty,223.87,3,671.61,5,Credit Card,4.2,1
TXN-10183,2025-01-09 01:00:00,CUST-7841,30,Male,Fashion,167.31,4,669.24,10,COD,4.1,1
TXN-10184,2025-01-09 02:00:00,CUST-9005,59,Female,Fashion,127.17,3,381.51,0,PayPal,5.0,1
TXN-10185,2025-01-09 03:00:00,CUST-1962,22,Female,Home & Kitchen,137.86,4,551.44,0,UPI/NetBanking,3.8,0
TXN-10186,2025-01-09 04:00:00,CUST-4583,41,Male,Home & Kitchen,245.91,4,983.64,10,Credit Card,4.1,1
TXN-10187,2025-01-09 05:00:00,CUST-9777,19,Female,Home & Kitchen,62.87,2,125.74,0,Credit Card,4.3,0
TXN-10188,2025-01-09 06:00:00,CUST-9625,40,Male,Fashion,54.69,4,218.76,5,Credit Card,3.8,0
TXN-10189,2025-01-09 07:00:00,CUST-1519,42,Male,Fashion,101.08,2,202.16,0,Debit Card,5.0,0
TXN-10190,2025-01-09 08:00:00,CUST-2562,20,Male,Sports,115.18,5,575.9,5,Credit Card,5.0,1
TXN-10191,2025-01-09 09:00:00,CUST-1539,38,Male,Electronics,28.24,4,112.96,20,Credit Card,3.5,1
TXN-10192,2025-01-09 10:00:00,CUST-7375,52,Male,Beauty,27.82,1,27.82,10,COD,3.0,0
TXN-10193,2025-01-09 11:00:00,CUST-7499,38,Male,Electronics,431.87,4,1727.48,0,UPI/NetBanking,4.7,0
TXN-10194,2025-01-09 12:00:00,CUST-7227,57,Male,Electronics,21.49,3,64.47,0,PayPal,4.2,0
TXN-10195,2025-01-09 13:00:00,CUST-1085,46,Male,Electronics,27.08,2,54.16,5,UPI/NetBanking,3.6,0
TXN-10196,2025-01-09 14:00:00,CUST-2468,23,Female,Beauty,184.41,1,184.41,0,UPI/NetBanking,5.0,1
TXN-10197,2025-01-09 15:00:00,CUST-9537,42,Male,Electronics,41.57,2,83.14,0,UPI/NetBanking,3.3,1
TXN-10198,2025-01-09 16:00:00,CUST-2260,33,Female,Fashion,96.5,4,386.0,0,Credit Card,3.7,1
TXN-10199,2025-01-09 17:00:00,CUST-6399,45,Female,Beauty,325.96,2,651.92,5,UPI/NetBanking,5.0,1
TXN-10200,2025-01-09 18:00:00,CUST-3910,38,Male,Home & Kitchen,72.4,5,362.0,15,Credit Card,4.3,1
TXN-10201,2025-01-09 19:00:00,CUST-4273,52,Male,Beauty,17.32,4,69.28,20,Credit Card,3.5,1
TXN-10202,2025-01-09 20:00:00,CUST-2133,68,Female,Home & Kitchen,27.74,3,83.22,0,PayPal,4.3,1
TXN-10203,2025-01-09 21:00:00,CUST-8851,52,Female,Sports,115.02,5,575.1,0,COD,3.9,1
TXN-10204,2025-01-09 22:00:00,CUST-2392,33,Female,Fashion,103.51,1,103.51,10,UPI/NetBanking,4.8,1
TXN-10205,2025-01-09 23:00:00,CUST-2735,,Male,Fashion,77.17,5,385.85,10,Credit Card,4.1,1
TXN-10206,2025-01-10 00:00:00,CUST-9199,19,Female,Electronics,230.27,1,230.27,0,COD,3.9,0
TXN-10207,2025-01-10 01:00:00,CUST-8912,24,Male,Home & Kitchen,47.65,3,142.95,0,PayPal,,0
TXN-10208,2025-01-10 02:00:00,CUST-2791,28,Female,Home & Kitchen,76.68,5,383.4,0,UPI/NetBanking,4.9,0
TXN-10209,2025-01-10 03:00:00,CUST-7636,29,Female,Fashion,17.52,5,87.6,20,UPI/NetBanking,4.7,0
TXN-10210,2025-01-10 04:00:00,CUST-2025,69,Female,Electronics,48.53,4,194.12,0,PayPal,4.2,1
TXN-10211,2025-01-10 05:00:00,CUST-6134,57,Male,Electronics,51.88,4,207.52,10,Debit Card,3.9,0
TXN-10212,2025-01-10 06:00:00,CUST-3194,33,Male,Electronics,115.5,5,577.5,5,UPI/NetBanking,5.0,1
TXN-10213,2025-01-10 07:00:00,CUST-8973,62,Female,Sports,31.17,2,62.34,5,Credit Card,4.0,0
TXN-10214,2025-01-10 08:00:00,CUST-1157,30,Female,Sports,74.85,4,299.4,5,UPI/NetBanking,4.3,1
TXN-10215,2025-01-10 09:00:00,CUST-3740,19,Female,Electronics,17.83,2,35.66,10,Credit Card,4.1,1
TXN-10216,2025-01-10 10:00:00,CUST-2854,35,Female,Beauty,53.85,1,53.85,15,UPI/NetBanking,3.0,1
TXN-10217,2025-01-10 11:00:00,CUST-5055,20,Male,Fashion,159.23,4,636.92,20,Credit Card,4.5,1
TXN-10218,2025-01-10 12:00:00,CUST-8015,26,Female,Beauty,154.15,5,770.75,5,Credit Card,5.0,0
TXN-10219,2025-01-10 13:00:00,CUST-5794,35,Female,Fashion,210.85,1,210.85,0,PayPal,4.7,1
TXN-10220,2025-01-10 14:00:00,CUST-3174,63,Male,Electronics,172.68,4,690.72,5,UPI/NetBanking,4.4,1
