Campaign_ID,Channel,Variant,Impressions,Clicks,CTR_Pct,Conversions,Conversion_Rate_Pct,Ad_Spend_USD,Revenue_Generated_USD,ROAS
CMP-50064,LinkedIn,Variant A (Control),161193,10509,6.52,616,5.87,7376.8,108945.76,14.77
CMP-50065,SEO Organic,Variant B (New Copy),136568,4069,2.98,533,13.12,4104.57,90860.51,22.14
CMP-50066,Google Ads,Variant C (Video Ad),94474,4676,4.95,107,2.29,3595.11,8146.98,2.27
CMP-50067,Google Ads,Variant A (Control),195052,7021,3.6,268,3.82,502.34,21214.88,42.23
CMP-50068,Email Marketing,Variant B (New Copy),42744,1132,2.65,156,13.86,4519.16,20013.24,4.43
CMP-50069,LinkedIn,Variant C (Video Ad),75620,3380,4.47,113,3.36,1202.06,8484.04,7.06
CMP-50070,SEO Organic,Variant C (Video Ad),187834,4752,2.53,256,5.39,3572.33,17500.16,4.9
CMP-50071,Google Ads,Variant C (Video Ad),234220,3419,1.46,131,3.84,5879.17,20598.44,3.5
CMP-50072,Google Ads,Variant C (Video Ad),141474,5772,4.08,226,3.92,7985.97,33120.3,4.15
CMP-50073,Meta Ads,Variant B (New Copy),56382,2655,4.71,67,2.55,5716.19,9972.28,1.74
CMP-50074,Meta Ads,Variant A (Control),176517,5524,3.13,260,4.72,4649.75,21327.8,4.59
CMP-50075,Meta Ads,Variant B (New Copy),236838,13168,5.56,555,4.22,6813.22,81329.7,11.94
CMP-50076,Meta Ads,Variant B (New Copy),32783,436,1.33,56,12.94,7335.13,4179.84,0.57
CMP-50077,SEO Organic,Variant C (Video Ad),219181,4295,1.96,248,5.79,3869.82,53508.48,13.83
CMP-50078,SEO Organic,Variant C (Video Ad),245996,10184,4.14,560,5.5,5015.16,104512.8,20.84
CMP-50079,LinkedIn,Variant A (Control),54259,1958,3.61,46,2.36,1672.21,3444.48,2.06
CMP-50080,Google Ads,Variant C (Video Ad),11164,668,5.99,46,6.91,5242.14,2171.2,0.41
CMP-50081,Email Marketing,Variant C (Video Ad),37293,1473,3.95,151,10.26,679.02,16830.46,24.79
CMP-50082,LinkedIn,Variant A (Control),86988,2896,3.33,211,7.32,7159.14,30248.96,4.23
CMP-50083,SEO Organic,Variant B (New Copy),225440,9986,4.43,1501,15.04,684.88,153327.15,223.87
CMP-50084,LinkedIn,Variant A (Control),214663,4829,2.25,423,8.78,4228.74,86871.51,20.54
CMP-50085,Google Ads,Variant A (Control),160087,7155,4.47,683,9.55,7743.62,65369.93,8.44
CMP-50086,LinkedIn,Variant A (Control),36948,2054,5.56,64,3.15,7941.53,12938.24,1.63
CMP-50087,Meta Ads,Variant B (New Copy),87515,5128,5.86,465,9.07,4060.28,59273.55,14.6
CMP-50088,LinkedIn,Variant C (Video Ad),186464,10609,5.69,1077,10.16,6112.26,75982.35,12.43
CMP-50089,SEO Organic,Variant C (Video Ad),121692,4904,4.03,366,7.47,1868.96,65151.66,34.86
CMP-50090,Meta Ads,Variant C (Video Ad),189597,9574,5.05,735,7.68,5384.8,113939.7,21.16
CMP-50091,Google Ads,Variant B (New Copy),91851,6135,6.68,954,15.56,6924.99,178064.1,25.71
CMP-50092,SEO Organic,Variant C (Video Ad),209922,13078,6.23,1186,9.07,7408.04,176844.46,23.87
CMP-50093,LinkedIn,Variant B (New Copy),31422,1762,5.61,113,6.46,5470.55,18038.19,3.3
CMP-50094,Google Ads,Variant A (Control),132612,8911,6.72,739,8.3,942.65,116569.86,123.66
CMP-50095,Google Ads,Variant A (Control),106076,2397,2.26,149,6.22,2015.35,15813.37,7.85
CMP-50096,Meta Ads,Variant A (Control),173975,11186,6.43,435,3.89,2345.94,92476.65,39.42
CMP-50097,Google Ads,Variant B (New Copy),94026,3939,4.19,471,11.97,4483.36,102484.89,22.86
CMP-50098,Email Marketing,Variant A (Control),224440,14364,6.4,1771,12.33,5297.77,286317.57,54.04
CMP-50099,SEO Organic,Variant B (New Copy),24803,818,3.3,27,3.34,2640.03,5270.4,2.0
CMP-50100,Google Ads,Variant A (Control),231270,14431,6.24,1079,7.48,4151.73,200726.37,48.35
CMP-50101,SEO Organic,Variant B (New Copy),166607,8613,5.17,345,4.01,1439.19,58387.8,40.57
CMP-50102,LinkedIn,Variant C (Video Ad),162216,4996,3.08,349,7.0,2092.38,55658.52,26.6
CMP-50103,Email Marketing,Variant B (New Copy),153842,2876,1.87,156,5.43,1978.62,19320.6,9.76
CMP-50104,LinkedIn,Variant A (Control),210412,11299,5.37,1056,9.35,4664.53,58259.52,12.49
CMP-50105,Google Ads,Variant A (Control),11258,700,6.22,32,4.6,1567.63,2972.8,1.9
CMP-50106,LinkedIn,Variant A (Control),51657,1730,3.35,175,10.12,7733.02,25287.5,3.27
CMP-50107,LinkedIn,Variant A (Control),184594,7531,4.08,645,8.57,4158.42,101458.5,24.4
CMP-50108,Email Marketing,Variant C (Video Ad),181422,8925,4.92,983,11.02,800.95,121665.91,151.9
CMP-50109,Google Ads,Variant B (New Copy),84710,5158,6.09,400,7.76,4596.99,73332.0,15.95
CMP-50110,Meta Ads,Variant B (New Copy),106255,4855,4.57,284,5.87,7656.64,22964.24,3.0
CMP-50111,LinkedIn,Variant C (Video Ad),81511,1206,1.48,30,2.49,7063.94,1525.8,0.22
CMP-50112,Google Ads,Variant B (New Copy),163762,4945,3.02,521,10.55,1019.08,72293.96,70.94
CMP-50113,Meta Ads,Variant A (Control),244659,5553,2.27,342,6.17,4836.1,60776.82,12.57
CMP-50114,Email Marketing,Variant B (New Copy),85513,1111,1.3,161,14.52,5689.86,27181.63,4.78
CMP-50115,Email Marketing,Variant B (New Copy),10763,332,3.09,43,13.25,4664.99,6867.53,1.47
CMP-50116,Email Marketing,Variant B (New Copy),15394,629,4.09,20,3.29,3745.1,1100.8,0.29
CMP-50117,Google Ads,Variant B (New Copy),173537,5726,3.3,217,3.79,6494.68,47466.58,7.31
CMP-50118,SEO Organic,Variant A (Control),227488,13421,5.9,1029,7.67,2826.84,176741.04,62.52
CMP-50119,LinkedIn,Variant C (Video Ad),81181,2581,3.18,148,5.75,4403.97,22043.12,5.01
CMP-50120,Google Ads,Variant C (Video Ad),105504,6393,6.06,618,9.67,3266.16,105331.92,32.25
CMP-50121,LinkedIn,Variant C (Video Ad),74425,1957,2.63,134,6.85,4227.33,24626.52,5.83
CMP-50122,Email Marketing,Variant C (Video Ad),153734,6272,4.08,206,3.3,3911.0,42526.64,10.87
CMP-50123,SEO Organic,Variant B (New Copy),194821,9176,4.71,516,5.63,753.73,77240.04,102.48
CMP-50124,Google Ads,Variant C (Video Ad),223770,5415,2.42,387,7.15,6279.14,25588.44,4.08
CMP-50125,Email Marketing,Variant A (Control),75425,4978,6.6,189,3.81,2882.71,26070.66,9.04
CMP-50126,Google Ads,Variant A (Control),179560,9606,5.35,1033,10.76,5307.15,76390.35,14.39
CMP-50127,Email Marketing,Variant B (New Copy),119739,2095,1.75,152,7.26,1034.35,7624.32,7.37
CMP-50128,SEO Organic,Variant B (New Copy),91542,1748,1.91,133,7.61,3647.47,22274.84,6.11
CMP-50129,Google Ads,Variant A (Control),76574,4648,6.07,553,11.9,6494.46,58291.73,8.98
CMP-50130,Email Marketing,Variant B (New Copy),92723,3690,3.98,181,4.91,2276.0,35845.24,15.75
CMP-50131,SEO Organic,Variant B (New Copy),219040,14697,6.71,1463,9.96,7832.3,156175.25,19.94
CMP-50132,SEO Organic,Variant B (New Copy),26715,699,2.62,95,13.71,5037.65,20406.0,4.05
CMP-50133,Google Ads,Variant C (Video Ad),194462,5211,2.68,483,9.27,4823.52,23551.08,4.88
CMP-50134,LinkedIn,Variant C (Video Ad),88826,2611,2.94,208,8.0,1608.71,36424.96,22.64
CMP-50135,LinkedIn,Variant A (Control),227122,4110,1.81,233,5.67,4547.75,44127.87,9.7
CMP-50136,Email Marketing,Variant C (Video Ad),66909,3780,5.65,463,12.25,6411.96,75362.51,11.75
CMP-50137,Email Marketing,Variant B (New Copy),112334,6021,5.36,534,8.88,5702.09,103168.8,18.09
CMP-50138,LinkedIn,Variant A (Control),13697,906,6.62,41,4.53,6750.79,7343.51,1.09
CMP-50139,Email Marketing,Variant C (Video Ad),165641,6575,3.97,410,6.25,7247.01,74673.3,10.3
CMP-50140,Google Ads,Variant A (Control),44330,1219,2.75,121,9.95,6426.91,14712.39,2.29
CMP-50141,Meta Ads,Variant B (New Copy),68651,2080,3.03,236,11.37,5104.32,40971.96,8.03
CMP-50142,Google Ads,Variant A (Control),159112,3150,1.98,111,3.54,1222.17,20076.57,16.43
CMP-50143,Email Marketing,Variant A (Control),64084,3845,6.0,322,8.38,2062.79,24645.88,11.95
CMP-50144,Email Marketing,Variant A (Control),32247,1218,3.78,104,8.61,3745.26,20316.4,5.42
CMP-50145,LinkedIn,Variant B (New Copy),142365,2249,1.58,321,14.28,1279.24,68928.33,53.88
CMP-50146,Google Ads,Variant A (Control),97940,4769,4.87,225,4.73,1351.41,27938.25,20.67
CMP-50147,Google Ads,Variant A (Control),186033,12520,6.73,1526,12.19,4541.47,125772.92,27.69
CMP-50148,Meta Ads,Variant C (Video Ad),174562,10962,6.28,278,2.54,2797.07,57148.46,20.43
CMP-50149,Meta Ads,Variant A (Control),82197,4808,5.85,535,11.13,3372.74,92817.15,27.52
CMP-50150,Google Ads,Variant B (New Copy),34613,1471,4.25,185,12.62,5831.8,20374.05,3.49
CMP-50151,Meta Ads,Variant A (Control),209275,3411,1.63,212,6.24,5667.45,17699.88,3.12
CMP-50152,Email Marketing,Variant A (Control),230301,14877,6.46,1164,7.83,3847.72,91758.12,23.85
CMP-50153,Google Ads,Variant C (Video Ad),77800,3298,4.24,389,11.8,2123.35,43284.03,20.38
CMP-50154,SEO Organic,Variant A (Control),39034,1221,3.13,129,10.62,7002.72,19054.59,2.72
CMP-50155,LinkedIn,Variant B (New Copy),146554,5583,3.81,185,3.33,3256.79,29352.1,9.01
CMP-50156,Meta Ads,Variant C (Video Ad),22358,527,2.36,17,3.39,1039.75,3020.56,2.91
CMP-50157,SEO Organic,Variant C (Video Ad),214855,8766,4.08,604,6.9,1036.52,43663.16,42.12
CMP-50158,Google Ads,Variant C (Video Ad),225911,14074,6.23,1505,10.7,2888.87,136955.0,47.41
CMP-50159,Google Ads,Variant A (Control),221076,11982,5.42,365,3.05,1099.59,51311.7,46.66
CMP-50160,Meta Ads,Variant B (New Copy),13989,837,5.99,29,3.52,4727.84,1672.43,0.35
CMP-50161,LinkedIn,Variant B (New Copy),192804,9967,5.17,1072,10.76,7097.39,216233.12,30.47
CMP-50162,Email Marketing,Variant C (Video Ad),207973,10773,5.18,385,3.58,1852.56,47732.3,25.77
CMP-50163,Google Ads,Variant A (Control),137273,2594,1.89,88,3.43,2056.79,18978.08,9.23
CMP-50164,Email Marketing,Variant C (Video Ad),80356,1510,1.88,185,12.28,3721.6,20647.85,5.55
CMP-50165,SEO Organic,Variant C (Video Ad),55277,1310,2.37,26,2.06,7499.37,2011.36,0.27
CMP-50166,Meta Ads,Variant A (Control),70547,4670,6.62,314,6.73,3398.62,35290.46,10.38
CMP-50167,Meta Ads,Variant A (Control),183557,9710,5.29,944,9.73,6864.46,157091.04,22.88
CMP-50168,Google Ads,Variant C (Video Ad),173202,8088,4.67,693,8.58,1530.85,39119.85,25.55
CMP-50169,Google Ads,Variant B (New Copy),44992,2955,6.57,311,10.55,3702.87,59963.91,16.19
CMP-50170,SEO Organic,Variant C (Video Ad),161626,3862,2.39,99,2.58,6551.19,11886.93,1.81
CMP-50171,LinkedIn,Variant A (Control),22443,1066,4.75,101,9.5,6373.35,17407.35,2.73
CMP-50172,Google Ads,Variant B (New Copy),209086,12294,5.88,1700,13.83,2191.02,88434.0,40.36
CMP-50173,Google Ads,Variant C (Video Ad),237646,4372,1.84,526,12.04,6198.05,59785.16,9.65
CMP-50174,Google Ads,Variant B (New Copy),58742,2837,4.83,88,3.11,4807.59,16712.08,3.48
CMP-50175,Email Marketing,Variant C (Video Ad),222537,7655,3.44,431,5.64,460.69,60749.45,131.87
CMP-50176,SEO Organic,Variant B (New Copy),65196,2503,3.84,270,10.81,1343.02,48651.3,36.23
CMP-50177,SEO Organic,Variant A (Control),226536,9990,4.41,391,3.92,4923.23,28988.74,5.89
CMP-50178,Meta Ads,Variant A (Control),90609,2446,2.7,188,7.71,6974.93,9191.32,1.32
CMP-50179,Email Marketing,Variant C (Video Ad),224198,11792,5.26,774,6.57,3862.41,142423.74,36.87
CMP-50180,LinkedIn,Variant B (New Copy),65925,2900,4.4,438,15.13,7653.27,62182.86,8.13
CMP-50181,Google Ads,Variant B (New Copy),121071,3050,2.52,105,3.46,7026.3,18895.8,2.69
CMP-50182,LinkedIn,Variant C (Video Ad),71986,1907,2.65,90,4.75,5716.13,19336.5,3.38
CMP-50183,Google Ads,Variant A (Control),116485,1619,1.39,118,7.35,5528.61,14922.28,2.7
CMP-50184,Google Ads,Variant C (Video Ad),51453,1034,2.01,43,4.24,5795.25,7044.69,1.22
CMP-50185,SEO Organic,Variant B (New Copy),82990,3103,3.74,405,13.06,6433.32,56205.9,8.74
CMP-50186,SEO Organic,Variant B (New Copy),215825,10618,4.92,1350,12.72,6391.17,234441.0,36.68
CMP-50187,LinkedIn,Variant B (New Copy),31070,1590,5.12,76,4.82,5145.77,9584.36,1.86
CMP-50188,SEO Organic,Variant C (Video Ad),163727,2816,1.72,95,3.39,5827.83,12249.3,2.1
CMP-50189,Meta Ads,Variant A (Control),216910,9630,4.44,465,4.83,7257.18,31475.85,4.34
CMP-50190,Email Marketing,Variant B (New Copy),183834,6287,3.42,934,14.86,1318.75,161899.56,122.77
CMP-50191,LinkedIn,Variant B (New Copy),79188,2573,3.25,376,14.63,5208.54,26613.28,5.11
CMP-50192,LinkedIn,Variant C (Video Ad),159710,8879,5.56,957,10.78,3699.48,183552.6,49.62
CMP-50193,Google Ads,Variant B (New Copy),218135,8332,3.82,906,10.88,5437.49,50328.3,9.26
CMP-50194,SEO Organic,Variant C (Video Ad),130811,5690,4.35,257,4.53,5008.82,44165.45,8.82
CMP-50195,LinkedIn,Variant B (New Copy),156619,5340,3.41,169,3.17,3987.35,36250.5,9.09
CMP-50196,Meta Ads,Variant C (Video Ad),40343,2327,5.77,67,2.92,5376.62,10525.7,1.96
CMP-50197,Meta Ads,Variant C (Video Ad),51471,2110,4.1,193,9.18,6638.18,25912.18,3.9
CMP-50198,Meta Ads,Variant C (Video Ad),94006,1193,1.27,53,4.48,4152.79,7321.42,1.76
CMP-50199,LinkedIn,Variant B (New Copy),12857,415,3.23,31,7.63,1216.04,1904.64,1.57
CMP-50200,Google Ads,Variant B (New Copy),118661,2313,1.95,352,15.22,2869.25,63243.84,22.04
CMP-50201,Email Marketing,Variant A (Control),28716,1099,3.83,130,11.85,6102.25,26915.2,4.41
CMP-50202,Email Marketing,Variant C (Video Ad),56439,1653,2.93,175,10.59,6677.15,37226.0,5.58
CMP-50203,LinkedIn,Variant B (New Copy),238522,7704,3.23,1070,13.9,7894.97,63739.9,8.07
CMP-50204,LinkedIn,Variant C (Video Ad),167951,6264,3.73,259,4.14,569.3,25073.79,44.04
CMP-50205,Email Marketing,Variant C (Video Ad),65687,1688,2.57,80,4.75,2797.32,8271.2,2.96
CMP-50206,Google Ads,Variant A (Control),42797,2084,4.87,72,3.47,7287.95,15513.84,2.13
CMP-50207,SEO Organic,Variant C (Video Ad),141802,4055,2.86,123,3.05,907.55,26454.84,29.15
CMP-50208,LinkedIn,Variant C (Video Ad),74237,1120,1.51,89,8.03,5055.79,7653.11,1.51
CMP-50209,SEO Organic,Variant C (Video Ad),49848,2422,4.86,95,3.95,5784.34,7016.7,1.21
CMP-50210,LinkedIn,Variant A (Control),222182,8887,4.0,558,6.28,6325.81,67947.66,10.74
CMP-50211,Email Marketing,Variant C (Video Ad),62775,3201,5.1,117,3.67,1567.68,19750.77,12.6
CMP-50212,Email Marketing,Variant B (New Copy),25824,1298,5.03,35,2.74,355.03,7363.3,20.74
CMP-50213,Email Marketing,Variant B (New Copy),68034,2068,3.04,283,13.69,4768.59,33014.78,6.92
CMP-50214,LinkedIn,Variant C (Video Ad),227353,10344,4.55,849,8.21,5926.56,59175.3,9.98
CMP-50215,Meta Ads,Variant B (New Copy),97140,6148,6.33,195,3.18,1545.82,16342.95,10.57
CMP-50216,Meta Ads,Variant B (New Copy),201066,5328,2.65,433,8.14,2014.43,24148.41,11.99
CMP-50217,Email Marketing,Variant C (Video Ad),96051,6080,6.33,311,5.13,476.1,48273.42,101.39
CMP-50218,LinkedIn,Variant C (Video Ad),56002,1248,2.23,34,2.78,5898.94,6942.8,1.18
CMP-50219,LinkedIn,Variant C (Video Ad),139442,3081,2.21,349,11.34,2971.93,35266.45,11.87
CMP-50220,Meta Ads,Variant A (Control),36430,1245,3.42,151,12.18,5967.48,23941.05,4.01
CMP-50221,SEO Organic,Variant B (New Copy),240484,14020,5.83,933,6.66,1486.81,176486.28,118.7
CMP-50222,SEO Organic,Variant B (New Copy),219311,7149,3.26,509,7.13,4326.0,41483.5,9.59
CMP-50223,Email Marketing,Variant A (Control),131263,2743,2.09,338,12.35,4172.28,61448.4,14.73
CMP-50224,SEO Organic,Variant A (Control),162035,3305,2.04,318,9.65,4396.98,68166.48,15.5
CMP-50225,Email Marketing,Variant B (New Copy),142497,6326,4.44,170,2.69,539.79,26465.6,49.03
CMP-50226,LinkedIn,Variant C (Video Ad),57192,2384,4.17,118,4.99,2699.62,9350.32,3.46
CMP-50227,LinkedIn,Variant A (Control),183078,4357,2.38,542,12.46,1094.78,48536.1,44.33
CMP-50228,Google Ads,Variant B (New Copy),227308,12751,5.61,1941,15.23,5325.09,93420.33,17.54
CMP-50229,Meta Ads,Variant B (New Copy),249129,6626,2.66,286,4.33,525.37,56662.32,107.85
CMP-50230,LinkedIn,Variant A (Control),58026,2808,4.84,142,5.08,6355.76,28419.88,4.47
CMP-50231,Email Marketing,Variant C (Video Ad),170894,11586,6.78,963,8.32,3709.9,167061.24,45.03
CMP-50232,SEO Organic,Variant A (Control),22360,1433,6.41,105,7.33,4809.88,21967.05,4.57
CMP-50233,SEO Organic,Variant A (Control),204290,6557,3.21,313,4.78,7091.61,30292.14,4.27
CMP-50234,Email Marketing,Variant C (Video Ad),84077,3985,4.74,208,5.24,6211.39,27539.2,4.43
CMP-50235,Google Ads,Variant B (New Copy),11663,584,5.01,80,13.78,7287.13,10854.4,1.49
CMP-50236,Email Marketing,Variant C (Video Ad),209071,6606,3.16,677,10.25,2789.17,141973.67,50.9
CMP-50237,SEO Organic,Variant C (Video Ad),227602,4779,2.1,392,8.21,7499.61,31328.64,4.18
CMP-50238,SEO Organic,Variant A (Control),174771,2708,1.55,211,7.82,2471.03,10003.51,4.05
CMP-50239,Email Marketing,Variant B (New Copy),190780,4807,2.52,127,2.65,5097.77,27445.97,5.38
CMP-50240,SEO Organic,Variant B (New Copy),133455,7393,5.54,763,10.33,2646.71,155011.08,58.57
CMP-50241,SEO Organic,Variant A (Control),211107,13827,6.55,1003,7.26,1367.12,199496.7,145.92
CMP-50242,Email Marketing,Variant B (New Copy),225329,13316,5.91,818,6.15,3637.37,71452.3,19.64
CMP-50243,Email Marketing,Variant B (New Copy),116987,6223,5.32,779,12.52,3693.86,81888.48,22.17
CMP-50244,Email Marketing,Variant A (Control),189272,6965,3.68,415,5.97,2121.46,23617.65,11.13
CMP-50245,Google Ads,Variant A (Control),116121,6630,5.71,389,5.88,6543.64,84938.15,12.98
CMP-50246,Meta Ads,Variant B (New Copy),28577,1791,6.27,72,4.04,4320.58,7030.08,1.63
CMP-50247,SEO Organic,Variant A (Control),92446,3217,3.48,147,4.6,5937.16,11862.9,2.0
CMP-50248,LinkedIn,Variant A (Control),12639,238,1.89,6,2.86,1574.59,1240.08,0.79
CMP-50249,SEO Organic,Variant C (Video Ad),63244,3212,5.08,328,10.24,4701.41,59138.4,12.58
CMP-50250,LinkedIn,Variant A (Control),23952,402,1.68,39,9.79,649.93,2312.31,3.56
CMP-50251,Email Marketing,Variant B (New Copy),132530,3512,2.65,345,9.85,7963.42,56976.75,7.15
CMP-50252,SEO Organic,Variant B (New Copy),35290,2389,6.77,332,13.92,2410.51,22463.12,9.32
CMP-50253,SEO Organic,Variant A (Control),58784,3139,5.34,119,3.81,2780.27,19796.84,7.12
CMP-50254,Meta Ads,Variant B (New Copy),234353,13053,5.57,1610,12.34,4218.72,79517.9,18.85
CMP-50255,Email Marketing,Variant A (Control),163266,3608,2.21,268,7.43,6355.82,33100.68,5.21
CMP-50256,Meta Ads,Variant B (New Copy),191907,5392,2.81,368,6.83,1674.17,36498.24,21.8
CMP-50257,Email Marketing,Variant A (Control),55150,1853,3.36,207,11.22,5145.54,39160.26,7.61
CMP-50258,LinkedIn,Variant B (New Copy),116349,4235,3.64,453,10.71,7398.22,20502.78,2.77
